bootstrap,model,n_rows,mae,rmse,r2
31,count_plus_BE_count,239,0.38295731609275546,0.4551652744289169,0.7620378039489231
31,count_plus_all_pairs,239,0.2340023283457336,0.2796145694285612,0.910197315581023
32,additive_head,239,0.37666436310097323,0.4526471320221185,0.7582404915678697
32,count_additive,239,0.3830117923969863,0.45854006400107805,0.7519046683003446
32,count_plus_PB_count,239,0.3754344584791204,0.4387223064845383,0.7728862383238966
32,count_plus_PE_count,239,0.2559197251696532,0.30778170427687973,0.8882237286706519
32,count_plus_BE_count,239,0.3839347202029547,0.4573285901742427,0.753213884134682
32,count_plus_all_pairs,239,0.23319486219407556,0.27944362640890236,0.9078591031484589
33,additive_head,239,0.36595264363182817,0.4390452327704834,0.7771992946609945
33,count_additive,239,0.37097092777107704,0.44476229512964877,0.771359082082135
33,count_plus_PB_count,239,0.36270624848187044,0.42526218889831324,0.7909685803349655
33,count_plus_PE_count,239,0.24682486308231244,0.2978665686529578,0.8974486092063116
33,count_plus_BE_count,239,0.3699159873144002,0.44245250825224697,0.7737277202263096
33,count_plus_all_pairs,239,0.2233116053592654,0.26875108240600765,0.9165169180089685
34,additive_head,239,0.38084076527964417,0.45594771877307083,0.7526674710901876
34,count_additive,239,0.386267676563479,0.4624676048060787,0.7455433667860978
34,count_plus_PB_count,239,0.37860779533146605,0.44212089162841567,0.7674409642137556
34,count_plus_PE_count,239,0.2590473117877387,0.312127576837784,0.8840914626986205
34,count_plus_BE_count,239,0.38680215133254353,0.4608865359847516,0.7472802484058279
34,count_plus_all_pairs,239,0.2361552065805994,0.28299837173136444,0.9047162113194305
35,additive_head,239,0.4002168181475109,0.48046218478052344,0.7473157196576303
35,count_additive,239,0.40740576325739786,0.4872911866485689,0.7400816659976464
35,count_plus_PB_count,239,0.39888417915639823,0.4660271230739682,0.7622709862236111
35,count_plus_PE_count,239,0.27332864124259043,0.3290843567785462,0.8814574464909759
35,count_plus_BE_count,239,0.4077777024308088,0.4852576247329657,0.7422465199790043
35,count_plus_all_pairs,239,0.24905275271634447,0.29820887211256203,0.90265785282075
36,additive_head,239,0.3640160440384263,0.43507836648676235,0.7652006249671177
36,count_additive,239,0.3689957684795962,0.4410871943005736,0.7586702533526172
36,count_plus_PB_count,239,0.36157957783477324,0.4222435517576215,0.7788494569943181
36,count_plus_PE_count,239,0.24656285446694795,0.2971697979967936,0.890460363320195
36,count_plus_BE_count,239,0.36972888341240356,0.43982011235430146,0.7600547658276786
36,count_plus_all_pairs,239,0.22538382731517587,0.2701783149642163,0.9094553205506408
37,additive_head,239,0.3586087969916624,0.4301123593849192,0.771506889332873
37,count_additive,239,0.3633184104305006,0.4357329331777479,0.7654961178166548
37,count_plus_PB_count,239,0.3553300871632512,0.4155091014578771,0.7867591780544536
37,count_plus_PE_count,239,0.24461892829203194,0.2950190120638946,0.8924997995086342
37,count_plus_BE_count,239,0.36308528716135713,0.4336244201490952,0.7677601567261807
37,count_plus_all_pairs,239,0.22133222123906243,0.2655395474063719,0.9129101210462613
38,additive_head,239,0.38923959508179334,0.4627884544860913,0.7335200544069173
38,count_additive,239,0.39571519717571163,0.4702754153315165,0.7248281201186311
38,count_plus_PB_count,239,0.3904854977144711,0.45352039733971433,0.7440865283027038
38,count_plus_PE_count,239,0.26154442472418826,0.3153470258392329,0.8762694400975665
38,count_plus_BE_count,239,0.3973284599590855,0.4690396168940192,0.7262724234528819
38,count_plus_all_pairs,239,0.24296045952685533,0.2910344218081622,0.8946127153078056
39,additive_head,239,0.38863756221109347,0.4667965629476951,0.760218649338038
39,count_additive,239,0.39472466079846574,0.47344148438989725,0.7533434107305947
39,count_plus_PB_count,239,0.3856695744737964,0.451398103585319,0.775777307530734
39,count_plus_PE_count,239,0.26619689990739925,0.3206132867733495,0.8868842353781804
39,count_plus_BE_count,239,0.39460218900226746,0.4714178669906823,0.7554474588769837
39,count_plus_all_pairs,239,0.24081744805935584,0.2888559920923293,0.9081830493892746
40,additive_head,239,0.3613900664376504,0.4352838886924268,0.7530319817152574
40,count_additive,239,0.36785204512550185,0.4412220680872274,0.7462477024465264
40,count_plus_PB_count,239,0.3593782665268328,0.4203375382062688,0.7697010891348615
40,count_plus_PE_count,239,0.2468676797469455,0.2974862120451761,0.884646914707728
40,count_plus_BE_count,239,0.36847740759905967,0.4402307856338584,0.7473866193490988
