fold_seed,model,n_rows,mae,rmse,r2
20,additive_head,239,0.3834910618271463,0.45759962087147094,0.7563527830763955
20,count_additive,239,0.38443916342262197,0.46561722883581125,0.7477400957272295
20,count_plus_PB_count,239,0.3785707703128671,0.44413682741346655,0.7704783195330732
20,count_plus_PE_count,239,0.2515156726104541,0.30550543749329095,0.8914004484700798
20,count_plus_BE_count,239,0.3808730814452287,0.4577461891421059,0.7561966786188101
20,count_plus_all_pairs,239,0.22407380331400087,0.27374082861962024,0.9128094739053649
21,additive_head,239,0.3752349349165178,0.4455300027095708,0.7690361267869761
21,count_additive,239,0.3770962150403999,0.45351071164158546,0.7606875782843001
21,count_plus_PB_count,239,0.3706791272605358,0.4313240527312216,0.7835301095032219
21,count_plus_PE_count,239,0.2524266148071565,0.30779827654510566,0.8897642374709394
21,count_plus_BE_count,239,0.37960875611466266,0.4547665709182314,0.7593603379448656
21,count_plus_all_pairs,239,0.22793665622584697,0.2781812498557688,0.9099578510853211
22,additive_head,239,0.3847480240370256,0.4555836932135694,0.7584948007690078
22,count_additive,239,0.38431650010565277,0.45823317565033916,0.7556776482583478
22,count_plus_PB_count,239,0.3784977737876546,0.4403008866735382,0.7744258844968773
22,count_plus_PE_count,239,0.25568205462480476,0.31101906014685776,0.8874451658477835
22,count_plus_BE_count,239,0.38215604133594233,0.4574750099210649,0.7564854622832683
22,count_plus_all_pairs,239,0.22650400841737062,0.27882394937420796,0.9095413104581759
23,additive_head,239,0.37994993334187904,0.4514613739183249,0.7628455157777043
23,count_additive,239,0.38812908991102346,0.4642116297716277,0.7492608345159879
23,count_plus_PB_count,239,0.3800949935789359,0.44838593535469107,0.7660655910303342
23,count_plus_PE_count,239,0.25652401405900804,0.3173330445426395,0.8828288371821797
23,count_plus_BE_count,239,0.38292719880456033,0.45331970842293157,0.7608891162679048
23,count_plus_all_pairs,239,0.2295374788480134,0.2805840246836334,0.9083956655046678
24,additive_head,239,0.3761571419345197,0.448568592395726,0.7658749585109395
24,count_additive,239,0.37921266667869313,0.4531868691748801,0.7610292321971275
24,count_plus_PB_count,239,0.3685586192752564,0.43114537705644806,0.783709417345486
24,count_plus_PE_count,239,0.2561641466174932,0.30890016639476264,0.8889735566992977
24,count_plus_BE_count,239,0.3763373606814655,0.4473241268141103,0.7671722245233219
24,count_plus_all_pairs,239,0.2258236316389231,0.2759106231021628,0.9114217721970336
25,additive_head,239,0.3817725030447708,0.4535811520288451,0.7606132313355545
25,count_additive,239,0.3898734953575088,0.4663510004296517,0.7469443906197957
25,count_plus_PB_count,239,0.3773180303871916,0.4403722429153201,0.7743527643833312
25,count_plus_PE_count,239,0.26004921383119994,0.319140980377419,0.8814899196129901
25,count_plus_BE_count,239,0.38755612196044875,0.45842967046838884,0.7554680677575625
25,count_plus_all_pairs,239,0.22976572129825887,0.2801474360142179,0.9086805163594788
26,additive_head,239,0.38237486274850296,0.45405619697202126,0.7601115393062909
26,count_additive,239,0.38348424119318825,0.45986376440769255,0.7539357486296232
26,count_plus_PB_count,239,0.37345473377156446,0.4375906261661313,0.7771943685758015
26,count_plus_PE_count,239,0.25865275096266316,0.3169440663963971,0.8831159115285638
26,count_plus_BE_count,239,0.37751575922648156,0.45088125264960116,0.7634546042850374
26,count_plus_all_pairs,239,0.22887881016082465,0.2801130540242683,0.908702929935314
27,additive_head,239,0.3850494607662783,0.4585410792995416,0.7553491996788058
27,count_additive,239,0.3899483429604114,0.4688030606214908,0.7442762762979236
27,count_plus_PB_count,239,0.37743956242395776,0.44493049255612205,0.7696572837284954
27,count_plus_PE_count,239,0.2597874693662295,0.31823226722461545,0.8821638434038415
