fold_seed,pair,model,delta_mae
173,PE,count_plus_PE_count,0.12747935866337634
174,PE,count_plus_PE_count,0.13132768181280718
175,PE,count_plus_PE_count,0.1299451385457589
176,PE,count_plus_PE_count,0.12989036131968157
177,PE,count_plus_PE_count,0.12613963691679414
178,PE,count_plus_PE_count,0.13652729476777997
179,PE,count_plus_PE_count,0.12554292305730874
180,PE,count_plus_PE_count,0.12704023864376385
181,PE,count_plus_PE_count,0.13212721951774836
182,PE,count_plus_PE_count,0.12691335328387904
183,PE,count_plus_PE_count,0.12921131663644242
184,PE,count_plus_PE_count,0.12315983628224114
185,PE,count_plus_PE_count,0.13144312380931938
186,PE,count_plus_PE_count,0.1314751848602408
187,PE,count_plus_PE_count,0.12388634297585471
188,PE,count_plus_PE_count,0.1252301601811997
189,PE,count_plus_PE_count,0.13212401476684404
190,PE,count_plus_PE_count,0.1344619255788746
191,PE,count_plus_PE_count,0.12844256627920658
192,PE,count_plus_PE_count,0.1230762425204614
193,PE,count_plus_PE_count,0.1311144347163346
194,PE,count_plus_PE_count,0.13234347432242033
195,PE,count_plus_PE_count,0.13054450672118728
196,PE,count_plus_PE_count,0.13353685330945997
197,PE,count_plus_PE_count,0.13431366438561082
198,PE,count_plus_PE_count,0.1262420379640401
199,PE,count_plus_PE_count,0.13257524413193028
0,BE,count_plus_BE_count,-0.0028691925132267038
1,BE,count_plus_BE_count,0.0032779631889242045
2,BE,count_plus_BE_count,-0.002963395457137974
3,BE,count_plus_BE_count,0.006112479415106953
4,BE,count_plus_BE_count,0.00011665743940147966
5,BE,count_plus_BE_count,0.0027406185471369193
6,BE,count_plus_BE_count,0.0009811656025883186
7,BE,count_plus_BE_count,0.0009484690048534028
8,BE,count_plus_BE_count,0.001360526544875451
9,BE,count_plus_BE_count,0.008306091420324124
10,BE,count_plus_BE_count,-0.0062888129639257495
11,BE,count_plus_BE_count,0.003396677946301885
12,BE,count_plus_BE_count,0.0018049504928169258
13,BE,count_plus_BE_count,0.0037477412774834518
14,BE,count_plus_BE_count,0.003903040275877623
15,BE,count_plus_BE_count,0.0020174909501806115
16,BE,count_plus_BE_count,0.0020868105310704044
17,BE,count_plus_BE_count,0.005406945440491473
18,BE,count_plus_BE_count,0.0051269627629593195
19,BE,count_plus_BE_count,0.004503249192531367
20,BE,count_plus_BE_count,0.003566081977393276
21,BE,count_plus_BE_count,-0.002512541074262742
22,BE,count_plus_BE_count,0.0021604587697104383
23,BE,count_plus_BE_count,0.00520189110646313
24,BE,count_plus_BE_count,0.0028753059972276285
25,BE,count_plus_BE_count,0.002317373397060063
26,BE,count_plus_BE_count,0.005968481966706685
27,BE,count_plus_BE_count,5.022985813502023e-05
28,BE,count_plus_BE_count,-0.0006220552654507272
29,BE,count_plus_BE_count,-2.8677804920884675e-05
30,BE,count_plus_BE_count,0.0012863904334287635
31,BE,count_plus_BE_count,-0.0032214007064235717
32,BE,count_plus_BE_count,0.0032132487979326663
33,BE,count_plus_BE_count,-0.0009630960843681757
34,BE,count_plus_BE_count,0.003809831837678801
35,BE,count_plus_BE_count,0.005653524387143227
36,BE,count_plus_BE_count,0.0014560324391938995
37,BE,count_plus_BE_count,0.004618972622422446
38,BE,count_plus_BE_count,-0.0004835936159374721
39,BE,count_plus_BE_count,0.004017810215739215
40,BE,count_plus_BE_count,0.0005251523251990631
41,BE,count_plus_BE_count,0.002820702181191126
42,BE,count_plus_BE_count,0.0037661173132821357
43,BE,count_plus_BE_count,0.001476807334327812
44,BE,count_plus_BE_count,-0.001612508971218396
45,BE,count_plus_BE_count,0.003549612521985046
46,BE,count_plus_BE_count,0.005553736380136343
47,BE,count_plus_BE_count,0.0023637626404046097
48,BE,count_plus_BE_count,0.0048748531098485315
49,BE,count_plus_BE_count,0.0016898340541644519
50,BE,count_plus_BE_count,-0.0001722889235805658
51,BE,count_plus_BE_count,0.004995797522381551
52,BE,count_plus_BE_count,0.0027371580640032644
53,BE,count_plus_BE_count,0.0011578166100680298
54,BE,count_plus_BE_count,-0.005774986208225141
55,BE,count_plus_BE_count,0.0058163183157092235
56,BE,count_plus_BE_count,0.0032360647530552122
57,BE,count_plus_BE_count,0.004016625205656432
58,BE,count_plus_BE_count,-0.0031425351256231804
59,BE,count_plus_BE_count,-0.0013790413829795067
60,BE,count_plus_BE_count,0.0011288217662046574
61,BE,count_plus_BE_count,0.001046707579417272
62,BE,count_plus_BE_count,0.003293616480069539
63,BE,count_plus_BE_count,0.0009282636541005918
64,BE,count_plus_BE_count,-0.0007570887976112717
65,BE,count_plus_BE_count,0.0081396366288779
66,BE,count_plus_BE_count,-0.0019179512813084498
67,BE,count_plus_BE_count,-0.0001110037665242869
68,BE,count_plus_BE_count,0.003115868636614394
69,BE,count_plus_BE_count,0.0042805219941395856
70,BE,count_plus_BE_count,0.0003180246630429817
71,BE,count_plus_BE_count,0.0033249333607807685
72,BE,count_plus_BE_count,0.0051084473176832845
73,BE,count_plus_BE_count,0.005536529312166194
74,BE,count_plus_BE_count,0.001381577508068721
75,BE,count_plus_BE_count,0.0012241956778873964
76,BE,count_plus_BE_count,0.005301949926909688
77,BE,count_plus_BE_count,0.0019171742005732462
78,BE,count_plus_BE_count,-0.00016925940057677114
79,BE,count_plus_BE_count,0.004360107218168263
80,BE,count_plus_BE_count,-0.0010805414552984005
81,BE,count_plus_BE_count,0.0016425670582482232
82,BE,count_plus_BE_count,-0.0006349997777842509
83,BE,count_plus_BE_count,0.0011262692393828044
84,BE,count_plus_BE_count,0.0022478664487580735
85,BE,count_plus_BE_count,-0.0014561810442361156
86,BE,count_plus_BE_count,0.0018324437311637576
