epsilon,context_seed,design_seed,mask_index,split,finite_response,atp_prediction
5.0,17,8,1,train,-1.6663568019866943,-1.9410852913279086
5.0,17,8,2,train,3.0014829635620117,2.5181412795487885
5.0,17,8,3,holdout,2.869019031524658,2.472913782055428
5.0,17,8,4,train,0.775409460067749,0.5800109104084717
5.0,17,8,5,train,-0.782291829586029,-0.8814510491714914
5.0,17,8,6,validation,3.9417765140533447,4.444144032119462
5.0,17,8,7,train,1.057908058166504,1.3079337625621783
5.0,17,8,8,train,2.895475149154663,2.3552500617159624
5.0,17,8,9,train,-2.146652936935425,-2.931651363707724
5.0,17,8,10,train,4.197385311126709,5.223969355727537
5.0,17,8,11,holdout,2.330591917037964,1.7404411251011078
5.0,17,8,12,validation,-2.38252592086792,-2.8367063813784847
5.0,17,8,13,train,-4.054736137390137,-6.362846378704489
5.0,17,8,14,holdout,-0.5639955997467041,-0.6060086968851625
5.0,17,8,15,train,-1.9525940418243408,-2.308946901466697
5.0,17,8,16,train,-1.9847073554992676,-2.217337603940925
5.0,17,8,17,holdout,3.7673754692077637,3.963862659836259
5.0,17,8,18,holdout,2.610851287841797,2.122802479799013
5.0,17,8,19,train,-1.63472580909729,-1.711010195433535
5.0,17,8,20,validation,-1.4026622772216797,-1.4480072009531846
5.0,17,8,21,train,-2.929070472717285,-3.8729052164150337
5.0,17,8,22,train,3.8405323028564453,4.307164246696031
5.0,17,8,23,validation,-2.2433388233184814,-2.4372058114856867
5.0,17,8,24,holdout,-1.7250566482543945,-1.9724306766739448
5.0,17,8,25,holdout,-1.9177380800247192,-2.476494440616425
5.0,17,8,26,train,1.807313084602356,1.483715254361802
5.0,17,8,27,train,-0.36906978487968445,-0.830687824122488
5.0,17,8,28,train,-1.7755792140960693,-2.0564224501119615
5.0,17,8,29,train,0.5544687509536743,0.5090894025246926
5.0,17,8,30,validation,0.29670849442481995,0.6941673901571043
5.0,17,8,31,train,1.6937742233276367,1.490874918070153
5.0,17,8,32,validation,-1.3422530889511108,-1.454275360683948
5.0,17,8,33,validation,2.032658100128174,1.4103328784147033
5.0,17,8,34,train,-0.18760834634304047,-0.1738074170949142
5.0,17,8,35,train,-1.9045101404190063,-2.5008650817762885
5.0,17,8,36,holdout,3.03048038482666,2.795254940277273
5.0,17,8,37,holdout,-0.0708596482872963,-0.4674481848570181
5.0,17,8,38,holdout,-3.2163400650024414,-4.6243720751676705
5.0,17,8,39,train,4.308773994445801,5.50372312930167
5.0,17,8,40,train,-0.013152550905942917,-0.12702225940302014
5.0,17,8,41,train,0.37660661339759827,0.34095295908139445
5.0,17,8,42,train,2.901123523712158,2.784979235384431
5.0,17,8,43,train,-1.695176601409912,-1.7707988543465532
5.0,17,8,44,holdout,-1.0511304140090942,-1.0370086063488544
5.0,17,8,45,train,-2.324083089828491,-3.025014963212016
5.0,17,8,46,validation,-0.593840479850769,-0.837751637953839
5.0,17,8,47,validation,0.8013578653335571,0.5338165567566949
5.0,17,8,48,train,3.2721943855285645,2.9708911564456946
5.0,17,8,49,train,2.881552219390869,2.2995810380100825
5.0,17,8,50,train,-1.6261110305786133,-1.8849457298601462
5.0,17,8,51,holdout,-1.774125576019287,-1.5017901610282256
5.0,17,8,52,holdout,-0.34173035621643066,-0.46755128621519754
5.0,17,8,53,holdout,0.15406976640224457,0.31191483586676555
5.0,17,8,54,train,3.737337350845337,4.3012759509701155
5.0,17,8,55,holdout,0.11904352903366089,0.10336037332978572
5.0,17,8,56,validation,-1.7255626916885376,-1.6905850551337798
5.0,17,8,57,validation,2.907625675201416,2.746994672686346
5.0,17,8,58,train,1.755608320236206,1.4558204199963725
5.0,17,8,59,train,-2.1591379642486572,-2.0174412269765245
5.0,17,8,60,validation,-1.7900211811065674,-2.215344823981951
5.0,17,8,61,train,0.27111583948135376,0.19244527531151806
5.0,17,8,62,validation,1.6558119058609009,1.1596389512157963
5.0,17,8,63,holdout,-2.4896562099456787,-3.261588199467901
5.0,17,8,64,train,-1.6310791969299316,-1.8319605157076166
5.0,17,8,65,holdout,-2.0897417068481445,-2.5185182342483805
5.0,17,8,66,train,-2.377594470977783,-2.7339243830730617
5.0,17,8,67,train,3.969834327697754,4.966774620115757
5.0,17,8,68,holdout,0.3620781898498535,0.2259919028373743
5.0,17,8,69,validation,-2.6389853954315186,-3.3326666418028505
5.0,17,8,70,validation,-4.013350963592529,-6.376672296161745
5.0,17,8,71,train,2.203522205352783,1.4756944813195059
5.0,17,8,72,train,-2.337467908859253,-3.1810169002482676
5.0,17,8,73,validation,-1.9054373502731323,-1.9983013610665994
5.0,17,8,74,holdout,-1.776968002319336,-2.2148286067291014
5.0,17,8,75,holdout,-2.1527841091156006,-2.56564306894537
5.0,17,8,76,train,-0.6125882863998413,-0.8449410710025272
5.0,17,8,77,train,-0.5584826469421387,-0.9221814153715967
5.0,17,8,78,holdout,0.17974655330181122,0.22224374975949024
5.0,17,8,79,train,3.736541271209717,3.8479612825855245
5.0,17,8,80,train,-0.008202172815799713,-0.005965390397856624
5.0,17,8,81,train,-1.4416120052337646,-1.470414721710276
5.0,17,8,82,holdout,0.13664792478084564,0.06342859321099437
5.0,17,8,83,holdout,-1.8079115152359009,-1.9457274491827667
5.0,17,8,84,train,1.9549990892410278,1.420965462395514
5.0,17,8,85,train,-0.10461988300085068,-0.6377281360215354
5.0,17,8,86,train,-1.7176061868667603,-1.8823958273550585
5.0,17,8,87,holdout,0.4702361226081848,0.4831995628774166
5.0,17,8,88,train,2.436229705810547,1.8907959711234883
5.0,17,8,89,train,-1.8962517976760864,-2.2726334824062957
5.0,17,8,90,validation,-1.4942922592163086,-1.652617784366305
5.0,17,8,91,train,2.196624517440796,1.8066272793765281
5.0,17,8,92,train,-2.1961722373962402,-2.810808532157739
5.0,17,8,93,validation,-2.017751693725586,-1.9967582738615501
5.0,17,8,94,holdout,-2.1420700550079346,-2.693349433121432
5.0,17,8,95,validation,-3.681396245956421,-5.49665413234287
5.0,17,8,96,holdout,-0.2637818157672882,-0.1745929157671829
5.0,17,8,97,train,-2.9301817417144775,-3.927318193055144
5.0,17,8,98,train,-0.8599892258644104,-0.5890595292051632
5.0,17,8,99,train,0.434085488319397,0.24933939436020303
5.0,17,8,100,train,3.01706862449646,3.153706927939007
5.0,17,8,101,train,-0.05517008900642395,-0.0995344376128716
5.0,17,8,102,train,0.04229547083377838,0.009266457021611135
5.0,17,8,103,holdout,-3.2628042697906494,-4.727919374318331
5.0,17,8,104,train,-0.07202281057834625,-0.28103433517323495
5.0,17,8,105,train,-2.495058059692383,-2.73335834025749
5.0,17,8,106,train,2.5404458045959473,2.4097725967716794
5.0,17,8,107,validation,-2.3269338607788086,-3.0940192411048124
