m_gain,repeat,gain,holdout_r2,n_train_available,epsilon,context_seed,design_seed
8,24,0.94721118264764,0.9555761674388594,96,5.0,17,8
8,25,1.0211601350832105,0.9342760675976123,96,5.0,17,8
8,26,0.7629798255788517,0.9471553875373334,96,5.0,17,8
8,27,0.7643099508299117,0.9475306705500051,96,5.0,17,8
8,28,0.9347154091136352,0.9577790746208783,96,5.0,17,8
8,29,0.8194132788918915,0.9590577629503405,96,5.0,17,8
8,30,0.8834036830802291,0.9625925894953762,96,5.0,17,8
8,31,0.7614552281284823,0.9467196097709744,96,5.0,17,8
8,32,0.955389647614284,0.953915796446011,96,5.0,17,8
8,33,0.8698545832677601,0.9627276023909433,96,5.0,17,8
8,34,0.827059987763028,0.9600371116193482,96,5.0,17,8
8,35,0.8850207097645858,0.9625447744684313,96,5.0,17,8
8,36,0.7907513919080933,0.9540416441221948,96,5.0,17,8
8,37,0.9173556986429545,0.9601694803560825,96,5.0,17,8
8,38,0.9799012635281487,0.9479037006163481,96,5.0,17,8
8,39,0.9225412040284273,0.9595370505142258,96,5.0,17,8
8,40,0.9893294906090114,0.9451775394630012,96,5.0,17,8
8,41,0.9389099863158282,0.9570846147171482,96,5.0,17,8
8,42,0.673396702721058,0.9113523101967895,96,5.0,17,8
8,43,0.7591822757434361,0.9460587706994167,96,5.0,17,8
8,44,1.0688201392526406,0.9130559358599857,96,5.0,17,8
8,45,0.8394586083108934,0.9613037827054322,96,5.0,17,8
8,46,0.8423324392521898,0.9615406432984649,96,5.0,17,8
8,47,0.8003998385293077,0.9559673625025358,96,5.0,17,8
8,48,0.9480355373107631,0.9554166458286822,96,5.0,17,8
8,49,0.9013629422530014,0.9616821437611236,96,5.0,17,8
16,0,0.9290831310458548,0.9586400153086774,96,5.0,17,8
16,1,0.8642648530698482,0.9626450099713945,96,5.0,17,8
16,2,0.9557892182764666,0.9538302459199148,96,5.0,17,8
16,3,0.8368053599120233,0.9610661456433339,96,5.0,17,8
16,4,0.9752719241672916,0.949158144529611,96,5.0,17,8
16,5,0.9480557477502949,0.9554127128235406,96,5.0,17,8
16,6,0.9700399135625082,0.9505092027928356,96,5.0,17,8
16,7,0.8095226642168075,0.9575668047293963,96,5.0,17,8
16,8,0.9880045342926901,0.9455745279514105,96,5.0,17,8
16,9,0.8834129629542252,0.9625923343785364,96,5.0,17,8
16,10,0.8521195273060647,0.962187112191966,96,5.0,17,8
16,11,0.8004480331225141,0.9559763774816981,96,5.0,17,8
16,12,0.7689946793737124,0.9488159998632009,96,5.0,17,8
16,13,0.9044557939874109,0.9614411834406519,96,5.0,17,8
16,14,0.9008535018215474,0.9617194613730765,96,5.0,17,8
16,15,0.8949554958868277,0.9621026510283636,96,5.0,17,8
16,16,0.7938894282172291,0.954694369291567,96,5.0,17,8
16,17,0.9375513226606217,0.9573145376979059,96,5.0,17,8
16,18,0.9486091586362376,0.9553046072369207,96,5.0,17,8
16,19,0.9102972073512633,0.9609186224868798,96,5.0,17,8
16,20,0.8608695616592789,0.9625554064112742,96,5.0,17,8
16,21,0.8938720773853766,0.9621632624242213,96,5.0,17,8
16,22,0.8837996610069108,0.9625815055622489,96,5.0,17,8
16,23,0.914831939328277,0.9604521298879289,96,5.0,17,8
16,24,0.8064909813817837,0.9570591518823308,96,5.0,17,8
16,25,0.9300118417496567,0.9585037009008338,96,5.0,17,8
16,26,0.7784656835083675,0.951241210689693,96,5.0,17,8
16,27,0.8834827690742811,0.9625904081732249,96,5.0,17,8
16,28,0.8968655425658154,0.9619884031395824,96,5.0,17,8
16,29,0.8057154300136906,0.9569254695158491,96,5.0,17,8
16,30,0.9577719053045393,0.9533996347867103,96,5.0,17,8
16,31,0.8724727225494486,0.9627385084150959,96,5.0,17,8
16,32,0.8660778206154544,0.9626806491127087,96,5.0,17,8
16,33,0.8922086394711046,0.9622504162004486,96,5.0,17,8
16,34,0.9074357217107514,0.9611856279116058,96,5.0,17,8
16,35,0.8659687032951222,0.9626787444301701,96,5.0,17,8
16,36,0.928167094215021,0.9587722850188412,96,5.0,17,8
16,37,0.9668604079208721,0.9512956720676254,96,5.0,17,8
16,38,0.9222485486818156,0.9595745940948672,96,5.0,17,8
16,39,0.8044664502964279,0.9567069132743125,96,5.0,17,8
16,40,0.9184317915043956,0.9600439552971382,96,5.0,17,8
16,41,0.8688824557731286,0.9627190412111887,96,5.0,17,8
16,42,0.8814103655225782,0.9626422284578962,96,5.0,17,8
16,43,0.8536329531809889,0.9622649707640236,96,5.0,17,8
16,44,0.874803083706451,0.962733308718281,96,5.0,17,8
16,45,0.8888582134857617,0.962404242381052,96,5.0,17,8
16,46,0.76688481335379,0.9482441474301271,96,5.0,17,8
16,47,0.9261369094297369,0.9590576983599562,96,5.0,17,8
16,48,0.8341656343113204,0.9608116583672093,96,5.0,17,8
16,49,0.806925064403558,0.9571332963311282,96,5.0,17,8
96,0,0.8549377941055186,0.9623273449286762,96,5.0,17,8
0,0,1.0,0.9462821770618706,96,5.0,17,9
4,0,0.7515616591955216,0.9594517662206928,96,5.0,17,9
4,1,0.8030355940209913,0.9725189944232756,96,5.0,17,9
4,2,1.372890551647573,0.5655460285649063,96,5.0,17,9
4,3,0.7693928002343561,0.9649130265032609,96,5.0,17,9
4,4,0.6960235478617879,0.936093222681686,96,5.0,17,9
4,5,0.6633450275222497,0.917857714108391,96,5.0,17,9
4,6,0.7011818958733304,0.9386676382184037,96,5.0,17,9
4,7,0.8324270040241535,0.9762773580126672,96,5.0,17,9
4,8,0.9719650201222498,0.9573951853148461,96,5.0,17,9
4,9,0.8953764900830767,0.9752705272644484,96,5.0,17,9
