subset_idx,subset_name,mask_bits,heads,n_heads,n_P,n_B,n_E,has_P,has_B,has_E,P_B,P_E,B_E,ablation,position_mode,logit_diff_mean,logit_diff_std,drop_from_clean_mean,drop_from_clean_std,n_prompts
103,P:9.6|P:10.0|B:9.7|B:10.2|B:10.6,0110101100000,"9.6,10.0,9.7,10.2,10.6",5,2,3,0,1,1,0,1,0,0,mean,end,2.951831817626953,1.026291012763977,0.7969585657119751,0.5632202625274658,256
104,P:9.6|P:10.0|B:9.7|B:10.1|B:11.2|B:11.9|E:10.7|E:11.10,0110110001111,"9.6,10.0,9.7,10.1,11.2,11.9,10.7,11.10",8,2,4,2,1,1,1,1,1,1,mean,end,4.7541093826293945,2.230928421020508,-1.0053188800811768,1.6677000522613525,256
105,P:9.6|P:10.0|B:9.0|B:10.10,0111000010000,"9.6,10.0,9.0,10.10",4,2,2,0,1,1,0,1,0,0,mean,end,3.32090425491333,1.315297245979309,0.4278860092163086,0.6548081636428833,256
106,P:9.6|P:10.0|B:9.0|B:10.1|B:10.2|B:10.6|B:11.9|E:10.7|E:11.10,0111011100111,"9.6,10.0,9.0,10.1,10.2,10.6,11.9,10.7,11.10",9,2,5,2,1,1,1,1,1,1,mean,end,4.457855224609375,1.673112392425537,-0.7090648412704468,0.8650429844856262,256
107,P:9.6|P:10.0|B:9.0|B:9.7|B:10.2,0111101000000,"9.6,10.0,9.0,9.7,10.2",5,2,3,0,1,1,0,1,0,0,mean,end,3.1580941677093506,1.168093204498291,0.5906959772109985,0.660223126411438,256
108,P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9,0111111111100,"9.6,10.0,9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9",10,2,8,0,1,1,0,1,0,0,mean,end,2.739473342895508,1.390946626663208,1.0093169212341309,1.2332319021224976,256
109,P:9.9|B:10.10|B:11.2|B:11.9|E:10.7,1000000011110,"9.9,10.10,11.2,11.9,10.7",5,1,3,1,1,1,1,1,1,1,mean,end,3.560122489929199,1.313948154449463,0.18866771459579468,0.6398316621780396,256
110,P:9.9|B:10.6,1000000100000,"9.9,10.6",2,1,1,0,1,1,0,1,0,0,mean,end,3.2924489974975586,1.27950119972229,0.4563412070274353,0.6657035946846008,256
111,P:9.9|B:10.6|E:10.7|E:11.10,1000000100011,"9.9,10.6,10.7,11.10",4,1,1,2,1,1,1,1,1,1,mean,end,4.137419700622559,1.9327187538146973,-0.3886292278766632,1.2422099113464355,256
112,P:9.9|B:10.6|B:11.2|B:11.9|E:10.7|E:11.10,1000000101111,"9.9,10.6,11.2,11.9,10.7,11.10",6,1,3,2,1,1,1,1,1,1,mean,end,4.3180036544799805,1.8997217416763306,-0.5692131519317627,1.21658456325531,256
113,P:9.9|B:10.2|B:10.6|B:11.2,1000001101000,"9.9,10.2,10.6,11.2",4,1,3,0,1,1,0,1,0,0,mean,end,3.3669328689575195,1.2701998949050903,0.3818577527999878,0.8268769979476929,256
114,P:9.9|B:10.1|B:10.2|E:10.7,1000011000010,"9.9,10.1,10.2,10.7",4,1,2,1,1,1,1,1,1,1,mean,end,3.271132469177246,1.3676493167877197,0.4776580333709717,0.7758901715278625,256
115,P:9.9|B:10.1|B:10.2|B:11.2|E:11.10,1000011001001,"9.9,10.1,10.2,11.2,11.10",5,1,3,1,1,1,1,1,1,1,mean,end,4.0723981857299805,1.6167449951171875,-0.32360804080963135,0.8369650840759277,256
116,P:9.9|B:9.7|E:11.10,1000100000001,"9.9,9.7,11.10",3,1,1,1,1,1,1,1,1,1,mean,end,4.115312576293945,1.580551266670227,-0.3665221333503723,0.7370832562446594,256
117,P:9.9|B:9.7|E:10.7|E:11.10,1000100000011,"9.9,9.7,10.7,11.10",4,1,1,2,1,1,1,1,1,1,mean,end,4.239885330200195,1.7365082502365112,-0.4910953640937805,0.909947395324707,256
118,P:9.9|B:9.7|B:10.6|E:10.7,1000100100010,"9.9,9.7,10.6,10.7",4,1,2,1,1,1,1,1,1,1,mean,end,3.1517302989959717,1.3098185062408447,0.597059965133667,0.776072084903717,256
119,P:9.9|B:9.7|B:10.6|B:11.2|B:11.9,1000100101100,"9.9,9.7,10.6,11.2,11.9",5,1,4,0,1,1,0,1,0,0,mean,end,3.312593460083008,1.2187228202819824,0.4361967444419861,0.7446563243865967,256
120,P:9.9|B:9.7|B:10.1|B:10.10|E:11.10,1000110010001,"9.9,9.7,10.1,10.10,11.10",5,1,3,1,1,1,1,1,1,1,mean,end,3.405729293823242,1.5041145086288452,0.3430608808994293,0.80134516954422,256
121,P:9.9|B:9.0|B:10.10|E:10.7|E:11.10,1001000010011,"9.9,9.0,10.10,10.7,11.10",5,1,2,2,1,1,1,1,1,1,mean,end,3.9677066802978516,1.6940336227416992,-0.21891632676124573,0.8528655767440796,256
122,P:9.9|B:9.0|B:10.2|B:10.6,1001001100000,"9.9,9.0,10.2,10.6",4,1,3,0,1,1,0,1,0,0,mean,end,3.0596089363098145,1.2645882368087769,0.6891812682151794,0.8574146032333374,256
123,P:9.9|B:9.0|B:10.1|B:11.2|E:10.7,1001010001010,"9.9,9.0,10.1,11.2,10.7",5,1,3,1,1,1,1,1,1,1,mean,end,3.721254348754883,1.440464735031128,0.027535997331142426,0.6481641530990601,256
124,P:9.9|P:10.0,1010000000000,"9.9,10.0",2,2,0,0,1,0,0,0,0,0,mean,end,3.106578826904297,1.2372335195541382,0.6422114372253418,0.6230120658874512,256
125,P:9.9|P:10.0|B:10.6|B:10.10|B:11.2|B:11.9|E:11.10,1010000111101,"9.9,10.0,10.6,10.10,11.2,11.9,11.10",7,2,4,1,1,1,1,1,1,1,mean,end,2.715541362762451,1.4008901119232178,1.033249020576477,1.1237353086471558,256
126,P:9.9|P:10.0|B:10.2|B:10.10|B:11.9|E:10.7,1010001010110,"9.9,10.0,10.2,10.10,11.9,10.7",6,2,3,1,1,1,1,1,1,1,mean,end,2.7554447650909424,1.2398844957351685,0.9933454990386963,0.8455489277839661,256
127,P:9.9|P:10.0|B:10.1|B:10.2,1010011000000,"9.9,10.0,10.1,10.2",4,2,2,0,1,1,0,1,0,0,mean,end,2.810879945755005,1.180182695388794,0.9379103779792786,0.7154134511947632,256
