model,n_rows,mae,rmse,r2,columns,n_params,bootstrap
pb_group_interaction,159,0.3274433624849445,0.40782274300203986,0.7399556166269491,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,10
group_interaction,159,0.31706631069707125,0.3954515897644913,0.7554930282624936,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,10
additive_head,159,0.3511985753238507,0.43490109684293876,0.735808402733479,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,11
pb_group_interaction,159,0.3516182373678798,0.4378287448484553,0.7322394838211244,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,11
group_interaction,159,0.34113936251760435,0.4249937398871276,0.7477082434008451,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,11
additive_head,159,0.34930903437258465,0.4307169429046146,0.7353292006740877,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,12
pb_group_interaction,159,0.34970304688136833,0.4341189059423124,0.7311317520251037,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,12
group_interaction,159,0.3401628314666412,0.42260764265049394,0.745201532785291,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,12
additive_head,159,0.3360815038704783,0.41562305165540653,0.7333626389155102,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,13
pb_group_interaction,159,0.3364219072079506,0.4187614932356162,0.729320585494003,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,13
group_interaction,159,0.32567841946440623,0.4061333353331867,0.7453996335608787,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,13
additive_head,159,0.33176581585340786,0.4087924370502615,0.7420366282212638,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,14
pb_group_interaction,159,0.33190726742401594,0.4115286598038504,0.738571752428829,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,14
group_interaction,159,0.3209012058835567,0.3990219337434094,0.7542203746258451,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,14
additive_head,159,0.34841565972052624,0.4313535216023587,0.7442601999488325,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,15
pb_group_interaction,159,0.34901734879550433,0.4350001563886343,0.7399179070011184,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,15
group_interaction,159,0.3381766284850525,0.4210746114561895,0.7563032493939122,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,15
additive_head,159,0.3415831807156303,0.4220847762686558,0.7393474964171292,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,16
pb_group_interaction,159,0.3418733799174361,0.42521905015021716,0.7354620704763524,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,16
group_interaction,159,0.3316408469355227,0.41318214789427093,0.7502269241815562,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,16
additive_head,159,0.33742713201193875,0.4158865269060536,0.74493138320887,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,17
pb_group_interaction,159,0.33776834055141164,0.4187284067841796,0.7414335492242878,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,17
group_interaction,159,0.32625175111003585,0.4069176137980363,0.7558142574303569,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,17
additive_head,159,0.32830728902548606,0.40635837096502503,0.756317912614077,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,18
pb_group_interaction,159,0.32848261351275265,0.40877840260551335,0.7534068153563447,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,18
group_interaction,159,0.31808390375202994,0.3968777688420054,0.7675557914670552,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,18
additive_head,159,0.34708546118909067,0.42843909231120214,0.7397127983931608,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,19
pb_group_interaction,159,0.3478897594097993,0.43161477583825736,0.7358398875185814,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,19
group_interaction,159,0.3372791414112682,0.41903776270115944,0.751010543148641,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,19
additive_head,159,0.34464206567640426,0.4259882419741422,0.7372520523909656,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,20
pb_group_interaction,159,0.3450787827387011,0.42922441418003426,0.7332447708925081,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,20
group_interaction,159,0.33266151019297635,0.4156776791282872,0.7498171603718695,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,20
additive_head,159,0.32517432112886874,0.4016617547015265,0.7470304790174307,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,21
pb_group_interaction,159,0.32569999570500774,0.40489794811174973,0.7429377006691813,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,21
group_interaction,159,0.31486526817231225,0.39237988094245363,0.7585869748939067,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,21
additive_head,159,0.354039541481986,0.4386979052722726,0.7366077254340966,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,22
