m_gain,repeat,gain,holdout_r2,n_train_available,epsilon
1,37,1.7102361246366349,0.9496387945170188,96,0.6
1,38,0.584217497055122,0.48760713312585924,96,0.6
1,39,1.2106675906755637,0.90198445277289,96,0.6
1,40,1.5881995519651502,0.9611595171986921,96,0.6
1,41,1.327298325086502,0.9355628498180774,96,0.6
1,42,1.7292492056764337,0.9464956835938908,96,0.6
1,43,1.7102361246366349,0.9496387945170188,96,0.6
1,44,1.8093032235282096,0.9292747346991718,96,0.6
1,45,0.9915645305798241,0.8019232924959115,96,0.6
1,46,1.081985419563853,0.8490666769427581,96,0.6
1,47,-9.399180485871442,-59.36593480344686,96,0.6
1,48,0.996659019679964,0.8047979745114219,96,0.6
1,49,1.7831049391705054,0.9356197298563405,96,0.6
2,0,1.520206656189177,0.9610827695109748,96,0.6
2,1,1.6696724000893746,0.9551295940426969,96,0.6
2,2,1.608327984387968,0.9602905313659562,96,0.6
2,3,1.7806568042978685,0.9361773904218174,96,0.6
2,4,1.54761944792595,0.9616729505696252,96,0.6
2,5,1.6543051995845501,0.9567776405936569,96,0.6
2,6,1.53206563830854,0.9614308151792503,96,0.6
2,7,1.4134176323573213,0.9515789686355296,96,0.6
2,8,1.885437038566803,0.9069190922329701,96,0.6
2,9,1.4086162235977977,0.9508823064311631,96,0.6
2,10,1.1168748704684632,0.8650593197259713,96,0.6
2,11,1.6597481172900719,0.9562210737626797,96,0.6
2,12,1.9426501210376987,0.8862838763397294,96,0.6
2,13,1.7189331470541123,0.9482461669874969,96,0.6
2,14,1.5922234109570301,0.961018376798675,96,0.6
2,15,1.7322631281820802,0.9459640680273175,96,0.6
2,16,1.4726675045722388,0.9582679935196159,96,0.6
2,17,1.700186041663765,0.951153365035936,96,0.6
2,18,1.5242025045436567,0.9612158380243713,96,0.6
2,19,1.3419330533186897,0.9388104868480505,96,0.6
2,20,1.375422851411308,0.9454320771678442,96,0.6
2,21,1.8350943045993242,0.9223542754500134,96,0.6
2,22,1.6570403428848788,0.9565016811309439,96,0.6
2,23,1.112669204581935,0.863196399191654,96,0.6
2,24,1.6963067168326644,0.951710822559001,96,0.6
2,25,0.9859081930353811,0.7987010037669967,96,0.6
2,26,1.6667516882317328,0.955461099474275,96,0.6
2,27,1.063814428190563,0.840252741433175,96,0.6
2,28,1.7091801168440957,0.9498027121003636,96,0.6
2,29,1.6585652939668916,0.9563445568418758,96,0.6
2,30,1.5065258889732314,0.9605056029276724,96,0.6
2,31,1.9480968026229206,0.8841478311923608,96,0.6
2,32,1.8397066696457798,0.9210461524778231,96,0.6
2,33,1.4816643168835364,0.958975015627872,96,0.6
2,34,1.6744761863439888,0.9545657021336321,96,0.6
2,35,1.8121336180698524,0.9285479326942451,96,0.6
2,36,1.166073748083595,0.885531323977431,96,0.6
2,37,1.1274210676681944,0.8696525979954957,96,0.6
2,38,1.1789478042917911,0.8904865676293541,96,0.6
2,39,1.1235079148966254,0.867961316855407,96,0.6
2,40,1.8647132170091498,0.9135816388299762,96,0.6
2,41,1.3833102552810046,0.9468275029400561,96,0.6
2,42,0.9486737725082812,0.7766865303604394,96,0.6
2,43,1.0780638006276082,0.8471925675216296,96,0.6
2,44,1.5902755026273594,0.9610887343009465,96,0.6
2,45,1.1626876118878855,0.8842003153849295,96,0.6
2,46,1.710208387130941,0.9496431143776862,96,0.6
2,47,1.176490344878239,0.8895535567386623,96,0.6
2,48,1.7538594120610294,0.9418875798292285,96,0.6
2,49,1.8487304835543974,0.9184250282988019,96,0.6
4,0,1.5810108054353296,0.961371146860269,96,0.6
4,1,1.8743078230731949,0.9105507292213866,96,0.6
4,2,1.382700363025013,0.9467218332080942,96,0.6
4,3,1.4028037576092565,0.9500079299772972,96,0.6
