subset_idx,subset_name,mask_bits,heads,n_heads,n_P,n_B,n_E,has_P,has_B,has_E,P_B,P_E,B_E,P_B_count,P_E_count,B_E_count,high_primary,full_primary,ablation,position_mode,logit_diff_mean,logit_diff_std,drop_from_clean_mean,drop_from_clean_std,n_prompts
24,B:10.6|E:10.7|E:11.10,0000000100011,"10.6,10.7,11.10",3,0,1,2,0,1,1,0,0,1,0.0,0.0,0.125,0,0,mean,end,5.658689498901367,1.9910740852355957,-1.9098994731903076,1.1293303966522217,256
25,B:10.2|E:11.10,0000001000001,"10.2,11.10",2,0,1,1,0,1,1,0,0,1,0.0,0.0,0.0625,0,0,mean,end,4.404036521911621,1.4832148551940918,-0.6552459001541138,0.5395587682723999,256
26,B:10.2|E:10.7,0000001000010,"10.2,10.7",2,0,1,1,0,1,1,0,0,1,0.0,0.0,0.0625,0,0,mean,end,4.7382307052612305,1.5508666038513184,-0.9894405007362366,0.6067328453063965,256
27,B:10.2|B:11.9|E:10.7|E:11.10,0000001000111,"10.2,11.9,10.7,11.10",4,0,2,2,0,1,1,0,0,1,0.0,0.0,0.25,0,0,mean,end,5.801486968994141,1.905263900756836,-2.05269718170166,1.0000977516174316,256
28,B:10.1|B:10.2|B:10.10,0000011010000,"10.1,10.2,10.10",3,0,3,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,mean,end,3.485299587249756,1.1299620866775513,0.2634904980659485,0.36892271041870117,256
29,B:9.7|B:11.2|E:10.7|E:11.10,0000100001011,"9.7,11.2,10.7,11.10",4,0,2,2,0,1,1,0,0,1,0.0,0.0,0.25,0,0,mean,end,5.90675163269043,2.0270276069641113,-2.15796160697937,1.1911207437515259,256
30,B:9.7|B:10.10|B:11.2|E:10.7,0000100011010,"9.7,10.10,11.2,10.7",4,0,3,1,0,1,1,0,0,1,0.0,0.0,0.1875,0,0,mean,end,4.635397434234619,1.582600474357605,-0.8866070508956909,0.8048076629638672,256
31,B:9.7|B:10.6|B:10.10|B:11.2|E:11.10,0000100111001,"9.7,10.6,10.10,11.2,11.10",5,0,4,1,0,1,1,0,0,1,0.0,0.0,0.25,0,0,mean,end,3.9863851070404053,1.4401254653930664,-0.23759472370147705,0.7338528633117676,256
32,B:9.7|B:10.2|B:10.10|E:10.7,0000101010010,"9.7,10.2,10.10,10.7",4,0,3,1,0,1,1,0,0,1,0.0,0.0,0.1875,0,0,mean,end,4.368699073791504,1.4009974002838135,-0.6199086904525757,0.5576305389404297,256
33,B:9.7|B:10.1|B:10.6|B:10.10|B:11.2|E:10.7|E:11.10,0000110111011,"9.7,10.1,10.6,10.10,11.2,10.7,11.10",7,0,5,2,0,1,1,0,0,1,0.0,0.0,0.625,0,0,mean,end,5.222265243530273,1.8719197511672974,-1.4734752178192139,1.1079775094985962,256
34,B:9.7|B:10.1|B:10.2|B:10.10|B:11.9|E:10.7,0000111010110,"9.7,10.1,10.2,10.10,11.9,10.7",6,0,5,1,0,1,1,0,0,1,0.0,0.0,0.3125,0,0,mean,end,4.201525688171387,1.3545597791671753,-0.4527350068092346,0.5361649394035339,256
35,B:9.0|B:11.9,0001000000100,"9.0,11.9",2,0,2,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,mean,end,3.7003324031829834,1.1739296913146973,0.04845794662833214,0.13433118164539337,256
36,B:9.0|B:10.6|B:11.9,0001000100100,"9.0,10.6,11.9",3,0,3,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,mean,end,3.4852371215820312,1.167007565498352,0.2635531723499298,0.45830315351486206,256
37,B:9.0|B:10.2|E:10.7|E:11.10,0001001000011,"9.0,10.2,10.7,11.10",4,0,2,2,0,1,1,0,0,1,0.0,0.0,0.25,0,0,mean,end,5.841701984405518,1.9313130378723145,-2.092911720275879,1.0152878761291504,256
38,B:9.0|B:10.2|B:10.10|B:11.2|B:11.9,0001001011100,"9.0,10.2,10.10,11.2,11.9",5,0,5,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,mean,end,3.8726725578308105,1.214727520942688,-0.12388212978839874,0.571205198764801,256
39,B:9.0|B:10.1|B:10.10|B:11.2|E:10.7|E:11.10,0001010011011,"9.0,10.1,10.10,11.2,10.7,11.10",6,0,4,2,0,1,1,0,0,1,0.0,0.0,0.5,0,0,mean,end,5.6512346267700195,1.9953854084014893,-1.9024443626403809,1.1403088569641113,256
40,B:9.0|B:10.1|B:10.6|B:10.10,0001010110000,"9.0,10.1,10.6,10.10",4,0,4,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,mean,end,3.3138208389282227,1.1564167737960815,0.43496930599212646,0.438568651676178,256
41,B:9.0|B:9.7|B:11.2|B:11.9|E:10.7|E:11.10,0001100001111,"9.0,9.7,11.2,11.9,10.7,11.10",6,0,4,2,0,1,1,0,0,1,0.0,0.0,0.5,0,0,mean,end,5.8419084548950195,1.985375165939331,-2.093118190765381,1.1564487218856812,256
42,B:9.0|B:9.7|B:10.10|B:11.2|B:11.9|E:11.10,0001100011101,"9.0,9.7,10.10,11.2,11.9,11.10",6,0,5,1,0,1,1,0,0,1,0.0,0.0,0.3125,0,0,mean,end,4.212590217590332,1.4932465553283691,-0.46380022168159485,0.7291213274002075,256
43,B:9.0|B:9.7|B:10.6|B:10.10|B:11.2|B:11.9,0001100111100,"9.0,9.7,10.6,10.10,11.2,11.9",6,0,6,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,mean,end,3.49454927444458,1.163245677947998,0.25424104928970337,0.6353618502616882,256
44,B:9.0|B:9.7|B:10.1|B:10.10,0001110010000,"9.0,9.7,10.1,10.10",4,0,4,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,mean,end,3.3380861282348633,1.1301554441452026,0.4107043147087097,0.40084585547447205,256
45,B:9.0|B:9.7|B:10.1|B:10.6|B:10.10|B:11.2|B:11.9|E:10.7,0001110111110,"9.0,9.7,10.1,10.6,10.10,11.2,11.9,10.7",8,0,7,1,0,1,1,0,0,1,0.0,0.0,0.4375,0,0,mean,end,4.257242202758789,1.4559006690979004,-0.5084521770477295,0.7655906081199646,256
46,B:9.0|B:9.7|B:10.1|B:10.2|B:10.10|B:11.2|B:11.9|E:11.10,0001111011101,"9.0,9.7,10.1,10.2,10.10,11.2,11.9,11.10",8,0,7,1,0,1,1,0,0,1,0.0,0.0,0.4375,0,0,mean,end,3.979030132293701,1.3914979696273804,-0.23023967444896698,0.67855304479599,256
47,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:11.2,0001111101000,"9.0,9.7,10.1,10.2,10.6,11.2",6,0,6,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,mean,end,3.561209201812744,1.1663289070129395,0.18758106231689453,0.6139063239097595,256
48,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.9|E:10.7|E:11.10,0001111110111,"9.0,9.7,10.1,10.2,10.6,10.10,11.9,10.7,11.10",9,0,7,2,0,1,1,0,0,1,0.0,0.0,0.875,0,0,mean,end,4.841880798339844,1.641620397567749,-1.093090534210205,0.863622784614563,256
49,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9|E:10.7,0001111111110,"9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9,10.7",9,0,8,1,0,1,1,0,0,1,0.0,0.0,0.5,0,0,mean,end,4.259636878967285,1.363175392150879,-0.5108466744422913,0.7087084650993347,256
50,P:10.0|E:10.7,0010000000010,"10.0,10.7",2,1,0,1,1,0,1,0,1,0,0.0,0.16666666666666666,0.0,0,0,mean,end,4.330049514770508,1.5427002906799316,-0.5812592506408691,0.7109742760658264,256
51,P:10.0|B:11.2|E:10.7,0010000001010,"10.0,11.2,10.7",3,1,1,1,1,1,1,1,1,1,0.041666666666666664,0.16666666666666666,0.0625,0,0,mean,end,4.455038547515869,1.6647404432296753,-0.7062482237815857,1.0235400199890137,256
52,P:10.0|B:10.2|E:10.7|E:11.10,0010001000011,"10.0,10.2,10.7,11.10",4,1,1,2,1,1,1,1,1,1,0.041666666666666664,0.3333333333333333,0.125,0,0,mean,end,5.349580764770508,1.8429498672485352,-1.6007909774780273,1.0146913528442383,256
53,P:10.0|B:10.2|B:11.9|E:11.10,0010001000101,"10.0,10.2,11.9,11.10",4,1,2,1,1,1,1,1,1,1,0.08333333333333333,0.16666666666666666,0.125,0,0,mean,end,3.814586639404297,1.3523203134536743,-0.06579641252756119,0.6006648540496826,256
54,P:10.0|B:10.1|E:11.10,0010010000001,"10.0,10.1,11.10",3,1,1,1,1,1,1,1,1,1,0.041666666666666664,0.16666666666666666,0.0625,0,0,mean,end,3.725510597229004,1.4730907678604126,0.02327965945005417,0.6635677218437195,256
55,P:10.0|B:9.0,0011000000000,"10.0,9.0",2,1,1,0,1,1,0,1,0,0,0.041666666666666664,0.0,0.0,0,0,mean,end,3.307816743850708,1.153624415397644,0.44097352027893066,0.46980005502700806,256
56,P:10.0|B:9.0|B:10.1|B:11.2|B:11.9|E:10.7,0011010001110,"10.0,9.0,10.1,11.2,11.9,10.7",6,1,4,1,1,1,1,1,1,1,0.16666666666666666,0.16666666666666666,0.25,0,0,mean,end,4.2405900955200195,1.6393159627914429,-0.4917997717857361,1.0478847026824951,256
57,P:10.0|B:9.0|B:10.1|B:10.2|E:10.7|E:11.10,0011011000011,"10.0,9.0,10.1,10.2,10.7,11.10",6,1,3,2,1,1,1,1,1,1,0.125,0.3333333333333333,0.375,0,0,mean,end,5.1426544189453125,1.8115997314453125,-1.3938639163970947,0.97063148021698,256
58,P:10.0|B:9.0|B:10.1|B:10.2|B:10.6|B:10.10|B:11.9,0011011110100,"10.0,9.0,10.1,10.2,10.6,10.10,11.9",7,1,6,0,1,1,0,1,0,0,0.25,0.0,0.0,0,0,mean,end,2.84843111038208,1.0149433612823486,0.9003593921661377,0.5869003534317017,256
59,P:10.0|B:9.0|B:9.7|B:10.1|B:10.6|B:11.9,0011110100100,"10.0,9.0,9.7,10.1,10.6,11.9",6,1,5,0,1,1,0,1,0,0,0.20833333333333331,0.0,0.0,0,0,mean,end,2.7861502170562744,0.9909845590591431,0.9626401662826538,0.569121241569519,256
60,P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:11.2|B:11.9,0011111101100,"10.0,9.0,9.7,10.1,10.2,10.6,11.2,11.9",8,1,7,0,1,1,0,1,0,0,0.29166666666666663,0.0,0.0,0,0,mean,end,2.9444820880889893,1.1536595821380615,0.8043078780174255,0.9615855813026428,256
61,P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:11.2|B:11.9|E:10.7|E:11.10,0011111101111,"10.0,9.0,9.7,10.1,10.2,10.6,11.2,11.9,10.7,11.10",10,1,7,2,1,1,1,1,1,1,0.29166666666666663,0.3333333333333333,0.875,0,0,mean,end,4.7861223220825195,1.6699942350387573,-1.0373320579528809,1.067618727684021,256
62,P:9.6|E:11.10,0100000000001,"9.6,11.10",2,1,0,1,1,0,1,0,1,0,0.0,0.16666666666666666,0.0,0,0,mean,end,4.717611789703369,1.7302334308624268,-0.96882164478302,0.7199854850769043,256
63,P:9.6|E:10.7|E:11.10,0100000000011,"9.6,10.7,11.10",3,1,0,2,1,0,1,0,1,0,0.0,0.3333333333333333,0.0,0,0,mean,end,5.736780643463135,2.1200435161590576,-1.9879906177520752,1.1931099891662598,256
64,P:9.6|B:10.2|E:10.7|E:11.10,0100001000011,"9.6,10.2,10.7,11.10",4,1,1,2,1,1,1,1,1,1,0.041666666666666664,0.3333333333333333,0.125,0,0,mean,end,5.6336164474487305,1.9767175912857056,-1.8848258256912231,1.0510817766189575,256
65,P:9.6|B:10.2|B:10.10|B:11.2|E:10.7|E:11.10,0100001011011,"9.6,10.2,10.10,11.2,10.7,11.10",6,1,3,2,1,1,1,1,1,1,0.125,0.3333333333333333,0.375,0,0,mean,end,5.563570022583008,1.9538757801055908,-1.8147797584533691,1.1061644554138184,256
66,P:9.6|B:10.1|B:10.2|B:11.9,0100011000100,"9.6,10.1,10.2,11.9",4,1,3,0,1,1,0,1,0,0,0.125,0.0,0.0,0,0,mean,end,3.656202793121338,1.234854817390442,0.09258739650249481,0.4200749397277832,256
67,P:9.6|B:9.7|B:10.2,0100101000000,"9.6,9.7,10.2",3,1,2,0,1,1,0,1,0,0,0.08333333333333333,0.0,0.0,0,0,mean,end,3.629314422607422,1.1702481508255005,0.1194758489727974,0.3836362361907959,256
68,P:9.6|B:9.7|B:10.1|B:10.10|B:11.2,0100110011000,"9.6,9.7,10.1,10.10,11.2",5,1,4,0,1,1,0,1,0,0,0.16666666666666666,0.0,0.0,0,0,mean,end,3.782022476196289,1.4825979471206665,-0.03323224559426308,0.8321882486343384,256
69,P:9.6|B:9.7|B:10.1|B:10.2|B:10.6|B:11.2|B:11.9|E:10.7|E:11.10,0100111101111,"9.6,9.7,10.1,10.2,10.6,11.2,11.9,10.7,11.10",9,1,6,2,1,1,1,1,1,1,0.25,0.3333333333333333,0.75,0,0,mean,end,5.180601119995117,1.8659472465515137,-1.4318113327026367,1.0851200819015503,256
70,P:9.6|B:9.0|B:10.1|B:10.2|B:11.9|E:10.7|E:11.10,0101011000111,"9.6,9.0,10.1,10.2,11.9,10.7,11.10",7,1,4,2,1,1,1,1,1,1,0.16666666666666666,0.3333333333333333,0.5,0,0,mean,end,5.374350547790527,1.916690468788147,-1.6255602836608887,0.9859510064125061,256
71,P:9.6|B:9.0|B:10.1|B:10.2|B:11.2|B:11.9|E:10.7|E:11.10,0101011001111,"9.6,9.0,10.1,10.2,11.2,11.9,10.7,11.10",8,1,5,2,1,1,1,1,1,1,0.20833333333333331,0.3333333333333333,0.625,0,0,mean,end,5.669646263122559,2.034355640411377,-1.920856237411499,1.1693748235702515,256
72,P:9.6|B:9.0|B:9.7|B:10.6|B:11.9,0101100100100,"9.6,9.0,9.7,10.6,11.9",5,1,4,0,1,1,0,1,0,0,0.16666666666666666,0.0,0.0,0,0,mean,end,3.4261655807495117,1.1907864809036255,0.3226247727870941,0.5088019967079163,256
73,P:9.6|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.9|E:10.7|E:11.10,0101111110111,"9.6,9.0,9.7,10.1,10.2,10.6,10.10,11.9,10.7,11.10",10,1,7,2,1,1,1,1,1,1,0.29166666666666663,0.3333333333333333,0.875,0,0,mean,end,4.494140625,1.6245603561401367,-0.7453505992889404,0.8339231014251709,256
74,P:9.6|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9|E:11.10,0101111111101,"9.6,9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9,11.10",10,1,8,1,1,1,1,1,1,1,0.3333333333333333,0.16666666666666666,0.5,0,0,mean,end,3.7717819213867188,1.4364873170852661,-0.022991657257080078,0.802796483039856,256
75,P:9.6|P:10.0,0110000000000,"9.6,10.0",2,2,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1,0,mean,end,3.4208669662475586,1.3169186115264893,0.32792341709136963,0.6167252659797668,256
76,P:9.6|P:10.0|E:11.10,0110000000001,"9.6,10.0,11.10",3,2,0,1,1,0,1,0,1,0,0.0,0.3333333333333333,0.0,1,0,mean,end,4.084661483764648,1.6704169511795044,-0.3358710706233978,0.8476197123527527,256
77,P:9.6|P:10.0|E:10.7|E:11.10,0110000000011,"9.6,10.0,10.7,11.10",4,2,0,2,1,0,1,0,1,0,0.0,0.6666666666666666,0.0,1,0,mean,end,5.129016876220703,2.0754504203796387,-1.3802263736724854,1.2752383947372437,256
78,P:9.6|P:10.0|B:11.9|E:10.7|E:11.10,0110000000111,"9.6,10.0,11.9,10.7,11.10",5,2,1,2,1,1,1,1,1,1,0.08333333333333333,0.6666666666666666,0.125,1,0,mean,end,5.07315731048584,2.0258004665374756,-1.324366807937622,1.2279702425003052,256
79,P:9.6|P:10.0|B:11.2|E:10.7|E:11.10,0110000001011,"9.6,10.0,11.2,10.7,11.10",5,2,1,2,1,1,1,1,1,1,0.08333333333333333,0.6666666666666666,0.125,1,0,mean,end,5.209665298461914,2.256150484085083,-1.4608745574951172,1.607121467590332,256
80,P:9.6|P:10.0|B:10.10,0110000010000,"9.6,10.0,10.10",3,2,1,0,1,1,0,1,0,0,0.08333333333333333,0.0,0.0,1,0,mean,end,3.3247809410095215,1.2995166778564453,0.4240095019340515,0.6327358484268188,256
81,P:9.6|P:10.0|B:10.10|E:10.7,0110000010010,"9.6,10.0,10.10,10.7",4,2,1,1,1,1,1,1,1,1,0.08333333333333333,0.3333333333333333,0.0625,1,0,mean,end,3.9858500957489014,1.5898882150650024,-0.23705962300300598,0.8540295958518982,256
82,P:9.6|P:10.0|B:10.6|E:11.10,0110000100001,"9.6,10.0,10.6,11.10",4,2,1,1,1,1,1,1,1,1,0.08333333333333333,0.3333333333333333,0.0625,1,0,mean,end,3.781186580657959,1.5192986726760864,-0.03239645063877106,0.7048880457878113,256
83,P:9.6|P:10.0|B:10.6|B:11.9,0110000100100,"9.6,10.0,10.6,11.9",4,2,2,0,1,1,0,1,0,0,0.16666666666666666,0.0,0.0,1,0,mean,end,3.1418051719665527,1.1554054021835327,0.6069852113723755,0.5289332866668701,256
84,P:9.6|P:10.0|B:10.6|B:10.10|E:10.7,0110000110010,"9.6,10.0,10.6,10.10,10.7",5,2,2,1,1,1,1,1,1,1,0.16666666666666666,0.3333333333333333,0.125,1,0,mean,end,3.7732839584350586,1.4303903579711914,-0.024493630975484848,0.6711411476135254,256
85,P:9.6|P:10.0|B:10.2|B:11.2|B:11.9,0110001001100,"9.6,10.0,10.2,11.2,11.9",5,2,3,0,1,1,0,1,0,0,0.25,0.0,0.0,1,0,mean,end,3.4292874336242676,1.5216705799102783,0.31950289011001587,1.1886615753173828,256
86,P:9.6|P:10.0|B:10.1|E:11.10,0110010000001,"9.6,10.0,10.1,11.10",4,2,1,1,1,1,1,1,1,1,0.08333333333333333,0.3333333333333333,0.0625,1,0,mean,end,3.8794965744018555,1.6725356578826904,-0.13070636987686157,0.8606159687042236,256
87,P:9.6|P:10.0|B:9.7|E:10.7|E:11.10,0110100000011,"9.6,10.0,9.7,10.7,11.10",5,2,1,2,1,1,1,1,1,1,0.08333333333333333,0.6666666666666666,0.125,1,0,mean,end,4.9074201583862305,2.0440962314605713,-1.1586298942565918,1.322893500328064,256
88,P:9.6|P:10.0|B:9.7|B:10.6|B:11.2|B:11.9|E:11.10,0110100101101,"9.6,10.0,9.7,10.6,11.2,11.9,11.10",7,2,4,1,1,1,1,1,1,1,0.3333333333333333,0.3333333333333333,0.25,1,0,mean,end,3.6287059783935547,1.650364637374878,0.1200842633843422,1.1749670505523682,256
89,P:9.6|P:10.0|B:9.7|B:10.2|E:11.10,0110101000001,"9.6,10.0,9.7,10.2,11.10",5,2,2,1,1,1,1,1,1,1,0.16666666666666666,0.3333333333333333,0.125,1,0,mean,end,3.745220184326172,1.4442200660705566,0.003570057451725006,0.7432574033737183,256
90,P:9.6|P:10.0|B:9.7|B:10.1|B:11.9,0110110000100,"9.6,10.0,9.7,10.1,11.9",5,2,3,0,1,1,0,1,0,0,0.25,0.0,0.0,1,0,mean,end,3.0860512256622314,1.2737574577331543,0.6627392768859863,0.7554103136062622,256
91,P:9.6|P:10.0|B:9.0|B:11.9,0111000000100,"9.6,10.0,9.0,11.9",4,2,2,0,1,1,0,1,0,0,0.16666666666666666,0.0,0.0,1,0,mean,end,3.3641245365142822,1.3046681880950928,0.38466572761535645,0.650783360004425,256
92,P:9.6|P:10.0|B:9.0|B:11.2|E:11.10,0111000001001,"9.6,10.0,9.0,11.2,11.10",5,2,2,1,1,1,1,1,1,1,0.16666666666666666,0.3333333333333333,0.125,1,0,mean,end,4.190060615539551,1.942872405052185,-0.4412704110145569,1.3550676107406616,256
93,P:9.6|P:10.0|B:9.0|B:10.6|B:10.10|B:11.9|E:11.10,0111000110101,"9.6,10.0,9.0,10.6,10.10,11.9,11.10",7,2,4,1,1,1,1,1,1,1,0.3333333333333333,0.3333333333333333,0.25,1,0,mean,end,3.379861831665039,1.3682574033737183,0.3689284026622772,0.6223391890525818,256
94,P:9.6|P:10.0|B:9.0|B:10.1|B:10.6|B:10.10|B:11.2|B:11.9|E:10.7|E:11.10,0111010111111,"9.6,10.0,9.0,10.1,10.6,10.10,11.2,11.9,10.7,11.10",10,2,6,2,1,1,1,1,1,1,0.5,0.6666666666666666,0.75,1,0,mean,end,4.246384620666504,1.9372329711914062,-0.49759411811828613,1.3992762565612793,256
95,P:9.6|P:10.0|B:9.0|B:9.7|E:10.7|E:11.10,0111100000011,"9.6,10.0,9.0,9.7,10.7,11.10",6,2,2,2,1,1,1,1,1,1,0.16666666666666666,0.6666666666666666,0.25,1,0,mean,end,4.884416580200195,2.058603525161743,-1.1356264352798462,1.3486602306365967,256
96,P:9.6|P:10.0|B:9.0|B:9.7|B:10.2|B:10.6|B:10.10|B:11.2,0111101111000,"9.6,10.0,9.0,9.7,10.2,10.6,10.10,11.2",8,2,6,0,1,1,0,1,0,0,0.5,0.0,0.0,1,0,mean,end,2.9074435234069824,1.3505619764328003,0.8413465023040771,1.1565059423446655,256
97,P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:11.2|B:11.9|E:10.7,0111111001110,"9.6,10.0,9.0,9.7,10.1,10.2,11.2,11.9,10.7",9,2,6,1,1,1,1,1,1,1,0.5,0.3333333333333333,0.375,1,0,mean,end,3.7560970783233643,1.7253391742706299,-0.00730687752366066,1.3329802751541138,256
98,P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9,0111111111100,"9.6,10.0,9.0,9.7,10.1,10.2,10.6,10.10,11.2,11.9",10,2,8,0,1,1,0,1,0,0,0.6666666666666666,0.0,0.0,1,0,mean,end,2.739473342895508,1.390946626663208,1.0093169212341309,1.2332319021224976,256
