program,label_index,label,r2_after_ablation,mse_after_ablation,delta_mse_vs_base,abs_readout_weight,readout_weight,activation_mean_test,activation_std_test
paircat_AB_to_numeric,8,paircat_AB_3:AB,0.8362904752895683,0.01541862559599633,0.015418625595996258,0.3827230632451466,0.3827230632451466,0.10526315946328013,0.3068922044538522
paircat_AB_to_numeric,9,paircat_AB_3:OTHER,0.6022493305526329,0.037461281887009645,0.037461281887009576,0.23455405012934047,-0.23455405012934047,0.6809210728265738,0.4661196683388172
paircat_AB_to_numeric,10,prev_token_4:A,0.9932746111158773,0.0006334161275905043,0.0006334161275904317,0.049370531737565525,0.049370531737565525,0.25986842782964237,0.43856222052290583
paircat_AB_to_numeric,11,prev_token_4:B,0.9927638214688094,0.0006815237397797251,0.0006815237397796525,0.049370533979524345,0.049370533979524345,0.2796052706955903,0.44880525370937974
paircat_AB_to_numeric,12,prev_token_4:C,0.9936151364659437,0.0006013444879720582,0.0006013444879719857,0.049370533828843544,0.049370533828843544,0.24671053447586364,0.4310967855301447
paircat_AB_to_numeric,13,tokens:A,0.9999999995486496,4.250945819609061e-11,4.2509385689840065e-11,1.1724957646694237e-05,1.1724957646694237e-05,0.3092105263157895,0.46216812604430213
paircat_AB_to_numeric,14,tokens:B,0.9999999994771772,4.924092890179187e-11,4.924085639554133e-11,1.1718167334039903e-05,1.1718167334039903e-05,0.35855263157894735,0.47957548098996783
paircat_AB_to_numeric,15,tokens:BOS,0.9999999999999992,7.250625054226504e-17,0.0,0.0,0.0,0.0,0.0
paircat_AB_to_numeric,16,tokens:C,0.9999999995149887,4.567972631836915e-11,4.567965381211861e-11,1.1724755772450709e-05,1.1724755772450709e-05,0.33223684210526316,0.4710154167892868
detect_pattern_AB_raw,0,detect_pattern_AB_raw_6:False,-0.09364023475924399,0.1030021273734468,0.10300212737344676,0.38893293102483883,-0.38893293102483883,0.6809210733083768,0.46611966763498536
detect_pattern_AB_raw,1,detect_pattern_AB_raw_6:True,0.5826672664110328,0.03930557601668943,0.03930557601668939,0.6110670765882094,0.6110670765882094,0.10526315969271928,0.3068922043751552
detect_pattern_AB_raw,2,indices:0,0.8878577552125037,0.010561873470290514,0.010561873470290471,0.2222545169091439,-0.2222545169091439,0.2138157894736842,0.40999828980793246
detect_pattern_AB_raw,3,indices:1,0.9939623723873638,0.000568640827782909,0.0005686408277828657,0.05555994333597396,0.05555994333597396,0.18421052631578946,0.3876557858593746
detect_pattern_AB_raw,4,indices:2,0.9945014462770463,0.000517869325707554,0.0005178693257075108,0.05555994334128996,0.05555994334128996,0.16776315789473684,0.3736558319468899
detect_pattern_AB_raw,5,indices:3,0.9926685951265477,0.00069049242575451,0.0006904924257544667,0.05555994343155172,0.05555994343155172,0.2236842105263158,0.41671283216087146
detect_pattern_AB_raw,6,indices:4,0.9930998542962939,0.0006498752186315987,0.0006498752186315554,0.05555994351746463,0.05555994351746463,0.21052631578947367,0.40768245749551757
detect_pattern_AB_raw,7,indices:5,0.9999999999999996,4.3235874213458874e-17,0.0,0.0,0.0,0.0,0.0
detect_pattern_AB_raw,8,map_10:False,0.9999999999507128,4.642015332917932e-12,4.6419720970437186e-12,2.5917665705411473e-06,2.5917665705411473e-06,0.6907894736842105,0.46216812604430213
detect_pattern_AB_raw,9,map_10:True,0.9999999999722442,2.614119997334048e-12,2.6140767614598344e-12,2.9075723294098185e-06,-2.9075723294098185e-06,0.3092105263157895,0.46216812604430213
detect_pattern_AB_raw,10,map_8:False,0.9999999999048685,8.95974552284458e-12,8.959702286970367e-12,3.7371371549110645e-06,3.7371371549110645e-06,0.6414473684210527,0.47957548098996783
detect_pattern_AB_raw,11,map_8:True,0.9999999999767086,2.19364316620675e-12,2.1935999303325364e-12,2.4739659862133215e-06,-2.4739659862133215e-06,0.35855263157894735,0.47957548098996783
detect_pattern_AB_raw,12,one,0.9999999999999996,4.3235874213458874e-17,0.0,0.0,0.0,1.0,0.0
detect_pattern_AB_raw,13,shift_by(1)_7:False,0.9310003252702783,0.0064985843235748925,0.006498584323574849,0.1111184511092635,0.1111184511092635,0.5263158051714537,0.4993069824270534
detect_pattern_AB_raw,14,shift_by(1)_7:True,0.9659314122408849,0.003208675855429123,0.00320867585542908,0.11111844861344107,0.11111844861344107,0.25986842782964237,0.43856222052290583
detect_pattern_AB_raw,15,tokens:A,0.9999999999685472,2.9623124682332417e-12,2.962269232359028e-12,3.095164347059545e-06,-3.095164347059545e-06,0.3092105263157895,0.46216812604430213
detect_pattern_AB_raw,16,tokens:B,0.9999999999782417,2.0492592850982497e-12,2.049216049224036e-12,2.391178815002251e-06,-2.391178815002251e-06,0.35855263157894735,0.47957548098996783
detect_pattern_AB_raw,17,tokens:BOS,0.9999999999999996,4.3235874213458874e-17,0.0,0.0,0.0,0.0,0.0
detect_pattern_AB_raw,18,tokens:C,0.9999999997394545,2.4538912182360857e-11,2.4538868946486642e-11,8.59462078915692e-06,-8.59462078915692e-06,0.33223684210526316,0.4710154167892868
