program,condition,n_examples,r2,mse,mae,n_labels_touched,label_indices,scale,group,labels,delta_mse_vs_base,delta_r2_vs_base,reconstruction_status,reconstruction_method,n_reconstruction_features,source_labels,reconstruction_write
detect_pattern_AB_raw,scale_group:shift_true,304,0.9914828530611633,0.0008021689637685474,0.014438092085607902,1.0,14,0.5,shift_true,shift_by(1)_7:True,0.0008021689637685042,-0.008517146938836206,,,,,
detect_pattern_AB_raw,scale_group:shift_true,304,0.9914828530573935,0.0008021689641236089,0.014438091735330385,1.0,14,1.5,shift_true,shift_by(1)_7:True,0.0008021689641235656,-0.00851714694260608,,,,,
detect_pattern_AB_raw,scale_group:shift_false,304,0.9310003252702783,0.0064985843235748925,0.058483398643682745,1.0,13,0.0,shift_false,shift_by(1)_7:False,0.006498584323574849,-0.06899967472972124,,,,,
detect_pattern_AB_raw,scale_group:shift_false,304,0.982750081264662,0.0016246460858767046,0.029241700380190055,1.0,13,0.5,shift_false,shift_by(1)_7:False,0.0016246460858766615,-0.017249918735337544,,,,,
detect_pattern_AB_raw,scale_group:shift_false,304,0.9827500814762908,0.0016246460659449123,0.029241699363238796,1.0,13,1.5,shift_false,shift_by(1)_7:False,0.0016246460659448691,-0.017249918523708718,,,,,
detect_pattern_AB_raw,scale_group:token_B,304,0.9999999999782417,2.0492592850982497e-12,8.590815988987659e-07,1.0,16,0.0,token_B,tokens:B,2.049216049224036e-12,-2.175781776969643e-11,,,,,
detect_pattern_AB_raw,scale_group:token_B,304,0.9999999999945625,5.12123926890612e-13,4.3039987055379516e-07,1.0,16,0.5,token_B,tokens:B,5.120806910163985e-13,-5.437095218496779e-12,,,,,
detect_pattern_AB_raw,scale_group:token_B,304,0.9999999999945529,5.130172120671799e-13,4.307734457841214e-07,1.0,16,1.5,token_B,tokens:B,5.129739761929665e-13,-5.4466431365085555e-12,,,,,
detect_pattern_AB_raw,ablate_explicit_detector_group,304,-0.5109583414815664,0.14230632579050762,0.32915428463917185,6.0,0;1;8;9;10;11,0.0,explicit_detector,detect_pattern_AB_raw_6:False;detect_pattern_AB_raw_6:True;map_10:False;map_10:True;map_8:False;map_8:True,0.14230632579050756,-1.510958341481566,,,,,
detect_pattern_AB_raw,ablate_explicit_group_then_reconstruct_first_order,304,0.5531001162205396,0.04209029376316248,0.13397009381613287,6.0,0;1;8;9;10;11,,explicit_detector,,0.04209029376316244,-0.44689988377946,ok,first_order,5.0,shift_by(1)_7:False;shift_by(1)_7:True;tokens:A;tokens:B;tokens:C,
detect_pattern_AB_raw,ablate_explicit_group_then_reconstruct_lifted,304,0.9999999999999996,4.348514449320251e-17,4.0588403933526274e-09,6.0,0;1;8;9;10;11,,explicit_detector,,2.4927027974363545e-19,0.0,ok,lifted,15.0,shift_by(1)_7:False;shift_by(1)_7:True;tokens:A;tokens:B;tokens:C,
detect_pattern_AB_raw,ablate_explicit_group_then_reconstruct_semantic_lifted,304,0.6565927023418294,0.03234306958553407,0.08316233632375838,6.0,0;1;8;9;10;11,,explicit_detector,,0.032343069585534026,-0.34340729765817013,ok,,,,explicit bool detector/map group <- shift_by(1)_7:True * tokens:B
