method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean,source_file,source_dir,budget_measurements,n_components,n_pairs,lifted_dim
scalar_cal_atp,0.4175068602798155,0.1197081990752119,0.229844007995437,1,8.0,16,1,1.06413155728639,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
subset_ridge,-0.1199890736677598,0.2343338150616261,0.3187092524907486,1,8.0,16,0,,,,0.5,0.0222666099729021,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
finite_single,0.2766439479476796,0.1481578003059514,0.2514811225218349,2,8.0,64,0,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
first_order_omp,0.0760960545017159,0.182621903335487,0.2842122163747271,2,8.0,16,0,,1.0,0.7596423024009401,0.5,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
lifted_omp,-0.6410375670678521,0.2686147475591281,0.3787813539509304,2,8.0,16,0,,2.0,0.7863593604947741,0.5,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
multigain_atp,-0.0750929384863776,0.2044251400896428,0.3065860112265038,2,8.0,16,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
raw_atp,0.3448048702101537,0.1254589483001581,0.2393396550693162,2,8.0,0,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
scalar_cal_atp,0.3510810553373636,0.1225886288794854,0.238190566394272,2,8.0,16,1,0.9689134933119667,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
subset_ridge,-0.1373858320499175,0.2329966258323012,0.3153430309577845,2,8.0,16,0,,,,0.5,0.1971745996904693,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
finite_single,0.6276975186601526,0.0987924987214116,0.1587181834719562,0,5.0,64,0,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
first_order_omp,0.7083099148687206,0.0788898747028557,0.1404881043876622,0,5.0,24,0,,2.0,0.9374568194964024,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
lifted_omp,0.7083099148687206,0.0788898747028557,0.1404881043876622,0,5.0,24,0,,2.0,0.5189961516042598,1.0,0.0,1.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
multigain_atp,0.7081518220562044,0.0789439060010674,0.1405261707328682,0,5.0,24,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
raw_atp,0.7292244239992474,0.0660427185324329,0.1353578548796206,0,5.0,0,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
scalar_cal_atp,0.7262263260010704,0.0677260881849614,0.1361051507959726,0,5.0,24,1,0.8593280117903636,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
subset_ridge,0.2918240038875065,0.1690189805926666,0.2189017935971541,0,5.0,24,0,,,,1.0,0.1700906220551946,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
finite_single,0.5903483956046662,0.0924374133268383,0.1495438342085563,1,5.0,64,0,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
first_order_omp,0.346445069478463,0.1392710111879807,0.1888870696562946,1,5.0,24,0,,1.0,0.1087412644000431,0.5,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
lifted_omp,-0.0346568435387719,0.1608670191333414,0.2376617817801221,1,5.0,24,0,,3.0,0.501181953727286,0.5,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
multigain_atp,0.6512798337846855,0.0824905904975317,0.1379747808521198,1,5.0,24,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
raw_atp,0.6660759774779259,0.067089001691441,0.1350159302774455,1,5.0,0,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
scalar_cal_atp,0.6619752948834771,0.0689542846358087,0.1358424177826196,1,5.0,24,1,1.0215616063414628,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
subset_ridge,0.1421091162759987,0.1652677031034276,0.2164099416175047,1,5.0,24,0,,,,1.0,0.0436571763556742,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
finite_single,0.5165380803776011,0.11079553997233,0.1752872575758467,2,5.0,64,0,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
first_order_omp,-0.0935652806374462,0.188909437187366,0.2636280195333202,2,5.0,24,0,,3.0,0.9141937366592668,0.5,0.0,0.0,0.0,runs/claim3_budget_m24/claim3_results.csv,runs/claim3_budget_m24,24,64,2016,2080
