epsilon,n_components,n_measurements,mask_kind,mask_density,mask_rows_normalized,finite_map_norm,atp_map_norm,atp_calibrated_map_norm,ridge_map_norm,omp_map_norm,finite_on_atp_slope,atp_on_finite_slope,finite_to_atp_norm_ratio,atp_vs_finite_cosine,atp_calibration_gain,atp_vs_finite_pearson,atp_vs_finite_spearman,ridge_vs_finite_pearson,ridge_vs_finite_spearman,omp_vs_finite_pearson,omp_vs_finite_spearman,finite_single_holdout_r2,atp_holdout_r2,atp_calibrated_holdout_r2,ridge_holdout_r2,omp_holdout_r2,ridge_train_r2,omp_val_r2,omp_k,aggregate_additivity_gap,atp_finite_calibration_gap,atp_calibrated_gap,atp_minus_finite_mae,atp_calibrated_minus_finite_mae,ridge_minus_finite_mae,omp_minus_finite_mae,source
5.0,32,128,signed,0.3,True,10.518228427720008,11.279551844228727,11.436721346803644,11.14055200296529,11.418656960395555,0.9271472358342252,1.0662209232045057,0.9325041076965964,0.9942553906002588,1.0139340201406437,0.9937071022902272,0.8533333333333332,0.9847386389367528,0.3983103841970814,0.9899978741027426,0.5700903946778753,0.9323458928605132,0.9416054436358872,0.9438544456560584,0.936002050167161,0.934132253605543,0.9895644612983318,0.9502894782459737,5,0.0676541071394868,-0.0092595507753739,-0.0115085527955451,0.1205453633156139,0.1296660395277299,0.2685587977349615,0.2447429906942439,runs/m4_baseline_seed7/step0_v2_seed8/step0_results.csv
8.0,32,128,signed,0.3,True,14.21898291175785,18.047282950765965,16.10075212735214,15.78233186465912,16.112298662929412,0.7827980140023036,1.2610616115331943,0.7878738838720521,0.993557509680607,0.8921427214986282,0.9923546823166532,0.7774074074074073,0.9849121089400223,0.3813610061461418,0.9907790211836052,0.57858588173847,0.9384581877131056,0.9548568410862068,0.9576327117416638,0.9489854121244518,0.9582212916712922,0.9927459240164076,0.9587210963226276,6,0.0615418122868943,-0.0163986533731012,-0.0191745240285581,0.3604880123166367,0.2446305214404836,0.3764729440592911,0.3346235006970542,runs/m4_baseline_seed7/step0_v2_seed8/step0_results.csv
0.05,32,128,signed,0.3,True,0.1568456897629946,0.2513218281239545,0.2112021001108821,0.2155788798511592,0.2103573952908796,0.6223113750494395,1.5978020820429188,0.624083037011957,0.9971611759053728,0.840365127404354,0.9966237306220262,0.9192592592592592,0.9894072385144438,0.5736996005502829,0.9922953184910044,0.619055213852662,0.8846773690703632,0.945261356982585,0.9571165833931669,0.9609745628993028,0.9495387613595666,0.9886604400633774,0.957499549403966,5,0.1153226309296368,-0.0605839879122217,-0.0724392143228036,0.0069873972039204,0.0041795509182345,0.0072631920688608,0.0058171895974056,runs/m4_baseline_seed7/step0_v2_seed9/step0_results.csv
0.1,32,128,signed,0.3,True,0.3311096881192238,0.502643656247909,0.3991464351856756,0.3999329504166041,0.3946533647493127,0.6571024383631723,1.5142922997855108,0.6587364308760263,0.9975195048637572,0.7940942459419255,0.9970479997336984,0.8537037037037037,0.9906432689437156,0.6661842503499753,0.9947585237423876,0.577670930291376,0.9297671675494524,0.880843927713237,0.9469188882982148,0.97531112770976,0.9400164655642884,0.9920874884546448,0.9568276921499792,4,0.0702328324505475,0.0489232398362153,-0.0171517207487622,0.0139127891292446,0.0065550722244383,0.0108234246978479,0.0086381082970843,runs/m4_baseline_seed7/step0_v2_seed9/step0_results.csv
0.2,32,128,signed,0.3,True,0.6492460100338119,1.005287312495818,0.7470781767091372,0.7473594475951573,0.74464123628578,0.6442553371986882,1.544613581896274,0.6458312981409609,0.9975597947222298,0.743148916158479,0.9971076860523268,0.7851851851851852,0.9950637644085042,0.8187286528084321,0.9959004612456914,0.6353768202442577,0.9540169836467902,0.827765366697061,0.9639090077865068,0.9784484114540196,0.9610262482511718,0.9963715446716084,0.9759938906551682,5,0.0459830163532097,0.1262516169497292,-0.0098920241397165,0.028481157781789,0.0105971422546748,0.0141171185177728,0.0138722898380965,runs/m4_baseline_seed7/step0_v2_seed9/step0_results.csv
0.4,32,128,signed,0.3,True,1.3050390077224927,2.010574624991636,1.3047178152988392,1.3056804422114576,1.292814823687697,0.6477380922151476,1.5374211317664856,0.6490875750149895,0.9979209541951088,0.6489278234595579,0.9975181947166464,0.841111111111111,0.9939952142392866,0.7439303105401549,0.9960920694463212,0.6683897680111077,0.9870757150053407,0.7037637204213096,0.984831298084974,0.9791385690758484,0.9783555556761476,0.9946390532958466,0.984038246409322,6,0.0129242849946592,0.2833119945840311,0.0022444169203666,0.0565100716368761,0.009249611685379,0.0208748653749003,0.0168253144905912,runs/m4_baseline_seed7/step0_v2_seed9/step0_results.csv
0.6,32,128,signed,0.3,True,1.9383149400791384,3.015861937487454,1.8418295033784344,1.851610451396314,1.8595075078217864,0.641325644660646,1.5525758706906148,0.6427067883929624,0.9978510515879724,0.6107141313348322,0.997452211198286,0.8285185185185184,0.9954882180914646,0.7980946273551143,0.9952247015090432,0.6262882535275905,0.9850397125318154,0.5482927327900782,0.9841707452020888,0.985338272486882,0.9793258669992128,0.9963809098407468,0.9917712881871684,11,0.0149602874681845,0.4367469797417372,0.0008689673297266,0.0865737433545291,0.0176631527222195,0.027138879969024,0.0272745848626232,runs/m4_baseline_seed7/step0_v2_seed9/step0_results.csv
0.9,32,128,signed,0.3,True,2.9096882453982698,4.52379290623118,2.6198926802731615,2.660770352455455,2.6315679473153852,0.6417425031368428,1.551219713260235,0.6431966064119328,0.9977392553682746,0.5791362988045847,0.9972912842451288,0.7955555555555555,0.991486716377854,0.6908713879459092,0.9958314363093692,0.6587728723278082,0.9787246897438218,0.4583777517302969,0.983366782650676,0.9695036855532904,0.9833501325418084,0.9944661424312988,0.9837933415720842,9,0.0212753102561782,0.5203469380135248,-0.0046420929068541,0.1334818263028864,0.037273548336567,0.0576151253795407,0.0495807318445985,runs/m4_baseline_seed7/step0_v2_seed9/step0_results.csv
1.2,32,128,signed,0.3,True,3.7503086397076535,6.031723874974908,3.3778376577651263,3.427654270457127,3.3603379763358343,0.6199959123351063,1.6037538393339266,0.6217639794930524,0.9971563692715236,0.5600119845968875,0.9966107312448332,0.7818518518518518,0.9915345104825136,0.5674356999662401,0.9965363893828594,0.577670930291376,0.9796816993276244,0.4259471978179168,0.9799081380110496,0.9653180474317,0.971449151610416,0.9922825158163432,0.9764077798518488,4,0.0203183006723757,0.5537345015097075,-0.0002264386834254,0.1887395655270666,0.0501541874170015,0.0768494677335424,0.0625270479190276,runs/m4_baseline_seed7/step0_v2_seed9/step0_results.csv
2.0,32,128,signed,0.3,True,5.903708737798442,10.05287312495818,5.398159877871749,5.464945195632515,5.362977442163988,0.5845089904563102,1.694812865007357,0.5872658158931059,0.995305659954678,0.5369768235182224,0.9945034287800684,0.7570370370370371,0.9932006213610752,0.6521825902209382,0.9960735868704166,0.577670930291376,0.969023639007472,0.2354421190540087,0.9745614096343098,0.974011783839428,0.9653409035221038,0.990865873148866,0.9747879362664472,4,0.0309763609925279,0.7335815199534633,-0.0055377706268378,0.3378161666623782,0.0787684068011783,0.1075630446480117,0.0888894682482038,runs/m4_baseline_seed7/step0_v2_seed9/step0_results.csv
