template_id,order,frame_id,ablation,prompt_idx,subset_idx,subset_name,group_code,logit_diff,drop_from_clean,io_name,s_name,io_token,s_token
abba_t0,ABBA,t0,mean,10,1,P:9.9,singleton,4.609149932861328,-0.3899049758911133,Jacob,Tom,12806,4186
abba_t0,ABBA,t0,mean,11,1,P:9.9,singleton,5.247899055480957,0.0780496597290039,Jessica,Tom,17352,4186
abba_t0,ABBA,t0,mean,12,1,P:9.9,singleton,2.7838268280029297,1.2734651565551758,Brian,Alice,8403,14862
abba_t0,ABBA,t0,mean,13,1,P:9.9,singleton,3.5272979736328125,0.5340166091918945,Lisa,Karen,15378,18678
abba_t0,ABBA,t0,mean,14,1,P:9.9,singleton,6.55340576171875,-0.7668018341064453,Michael,Helen,3899,22695
abba_t0,ABBA,t0,mean,15,1,P:9.9,singleton,3.35184383392334,-0.1519308090209961,Scott,Steven,4746,8239
abba_t0,ABBA,t0,mean,16,1,P:9.9,singleton,1.9933490753173828,0.5472774505615234,Karen,Lisa,18678,15378
abba_t0,ABBA,t0,mean,17,1,P:9.9,singleton,5.230927467346191,0.0026559829711914062,Eric,Tom,7651,4186
abba_t0,ABBA,t0,mean,18,1,P:9.9,singleton,2.39827823638916,0.10869693756103516,Jessica,Alice,17352,14862
abba_t0,ABBA,t0,mean,19,1,P:9.9,singleton,5.240324974060059,0.2619009017944336,Rachel,Bob,15984,5811
abba_t0,ABBA,t0,mean,20,1,P:9.9,singleton,4.92457389831543,0.20270252227783203,Eric,Nancy,7651,18496
abba_t0,ABBA,t0,mean,21,1,P:9.9,singleton,4.299616813659668,-0.4751625061035156,Susan,David,14919,3271
abba_t0,ABBA,t0,mean,22,1,P:9.9,singleton,3.3194055557250977,0.14359092712402344,Anna,Scott,11735,4746
abba_t0,ABBA,t0,mean,23,1,P:9.9,singleton,3.758312225341797,0.09334564208984375,Alice,Laura,14862,16753
abba_t0,ABBA,t0,mean,24,1,P:9.9,singleton,4.446730613708496,0.08442211151123047,Emma,David,18966,3271
abba_t0,ABBA,t0,mean,25,1,P:9.9,singleton,4.886456489562988,-0.515934944152832,Lisa,Mark,15378,2940
abba_t0,ABBA,t0,mean,26,1,P:9.9,singleton,4.12044620513916,-0.3972282409667969,Scott,Anna,4746,11735
abba_t0,ABBA,t0,mean,27,1,P:9.9,singleton,5.773467063903809,0.03397369384765625,Robert,Nancy,5199,18496
abba_t0,ABBA,t0,mean,28,1,P:9.9,singleton,2.2399845123291016,0.5943613052368164,Jacob,Michael,12806,3899
