method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean,noise_std,source_dir,source_file,measurements,holdout_measurements,mask_density,mode,n_components
scalar_cal_atp,0.660647766230398,0.0893780607956051,0.1505697162357386,0,5.0,96,1,0.9051152245741864,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
multigain_atp,0.669480604943534,0.0881500669118159,0.148597242516964,0,5.0,96,1,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
finite_single,0.5835078143376613,0.1141540379579847,0.1668075503319642,0,5.0,64,0,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
subset_ridge,0.4396254925566646,0.1439269346850393,0.193486852934506,0,5.0,96,0,,,,1.0,0.1276200796423571,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
first_order_omp,0.6425946270143527,0.1019316769427999,0.1545228872636753,0,5.0,96,0,,8.0,0.7551871456012091,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
lifted_omp,0.9612016809875604,0.0407971719803993,0.0509118326729272,0,5.0,96,0,,4.0,0.947080749414706,1.0,0.0,1.0,5.677866280071474,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
raw_atp,0.3879635857567317,0.1337764670250324,0.2379883738585555,0,8.0,0,1,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
scalar_cal_atp,0.4006589537193065,0.1284994440937304,0.2355071632804564,0,8.0,96,1,0.8393313615616387,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
multigain_atp,0.4234486291802167,0.1238056567304098,0.2309862429673243,0,8.0,96,1,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
finite_single,0.3420263256855428,0.1545319193552645,0.2467580726084367,0,8.0,64,0,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
