method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean
raw_atp,0.993931358969431,0.011917189860888815,0.017917767664589055,1,0.6,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.9939260184355652,0.01191730274541502,0.01792564994015771,1,0.6,256,1,0.9982090812895753,,,1.0,0.0,0.0,0.0
multigain_atp,0.9937941933880163,0.012106061054381502,0.01811912809364756,1,0.6,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.9923033526093548,0.014133104577619491,0.02017850429677226,1,0.6,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9907690414498075,0.01657173879279141,0.022098437978534977,1,0.6,256,0,,,,1.0,0.003407410737874834,0.0,0.0
first_order_omp,0.993796891080204,0.012104039519554393,0.018115189432117432,1,0.6,256,0,,2.0,0.9855396696903467,1.0,0.0,0.0,0.0
lifted_omp,0.9980448334925387,0.008097008238151952,0.010170213051909623,1,0.6,256,0,,4.0,0.9980637155482694,1.0,0.0,1.0,0.8099313028302404
raw_atp,0.9816507284734339,0.01715441663789304,0.03125957554160848,1,1.2,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.9816486236893129,0.01712689603612781,0.031261368331351416,1,1.2,256,1,0.9949688061805861,,,1.0,0.0,0.0,0.0
multigain_atp,0.9813797179737626,0.017406334913551688,0.031489574355543816,1,1.2,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.9668458818694762,0.027975353238744703,0.042018679826194574,1,1.2,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9720826455650159,0.027321144854122535,0.038557670988372914,1,1.2,256,0,,,,1.0,0.012706623600346469,0.0,0.0
first_order_omp,0.9813832525206214,0.01740503650811185,0.03148658550021006,1,1.2,256,0,,2.0,0.9604613899309643,1.0,0.0,0.0,0.0
lifted_omp,0.9980603608270027,0.00809668244807336,0.010163285749121672,1,1.2,256,0,,4.0,0.9981409563721272,1.0,0.0,1.0,1.5896844607237801
raw_atp,0.9529452817177422,0.02483783815996955,0.050390235347300076,1,2.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.9530452501685005,0.02444812569039841,0.050336679483864104,1,2.0,256,1,0.9870979789373105,,,1.0,0.0,0.0,0.0
multigain_atp,0.9526095082788392,0.02449263100304875,0.05056970327850957,1,2.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.9020429726949941,0.04689909328951883,0.07270471836954474,1,2.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9287096402904822,0.04320053445758017,0.06202406140677468,1,2.0,256,0,,,,1.0,0.025033194020921568,0.0,0.0
first_order_omp,0.9526138907877546,0.024491643845389433,0.05056736496874144,1,2.0,256,0,,2.0,0.9082123242715231,1.0,0.0,0.0,0.0
lifted_omp,0.9980810623028303,0.008110344874096835,0.01017595634552903,1,2.0,256,0,,4.0,0.9982589423284712,1.0,0.0,1.0,2.6291588952316465
raw_atp,0.7420361131826453,0.06031363108479221,0.12541716761557622,1,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.7461630544081224,0.05768191041051475,0.12440990235815455,1,5.0,256,1,0.9330078810469171,,,1.0,0.0,0.0,0.0
multigain_atp,0.7480067086549957,0.051536997502561396,0.12395727547907065,1,5.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.6235291162790604,0.09358348029388973,0.15151067370671806,1,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.6197613915817552,0.10534224515938076,0.1522669464558291,1,5.0,256,0,,,,1.0,0.07087045478275714,0.0,0.0
first_order_omp,0.7480120625717029,0.05153827421640389,0.12395595865740107,1,5.0,256,0,,2.0,0.6229433707409159,1.0,0.0,0.0,0.0
lifted_omp,0.9980984681392012,0.008580466629825229,0.010767858400838309,1,5.0,256,0,,4.0,0.9986837268697136,1.0,0.0,1.0,6.52704445390122
raw_atp,0.4819298260491196,0.09781841962511448,0.20178645080801633,1,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.49489188391164174,0.09265247487607056,0.19924612325178984,1,8.0,256,1,0.8670608023409839,,,1.0,0.0,0.0,0.0
multigain_atp,0.5018428673467625,0.07895649225902722,0.197870423421805,1,8.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.38571784161212885,0.12414640495145558,0.21972610510601812,1,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.24767206170750877,0.16827040908972216,0.24316513257993852,1,8.0,256,0,,,,1.0,0.11692003896187533,0.0,0.0
first_order_omp,0.5018472060624286,0.07895891919903339,0.19786956174050108,1,8.0,256,0,,2.0,0.38388535747944474,1.0,0.0,0.0,0.0
lifted_omp,0.9983301162739509,0.00903881692368796,0.011456206223473904,1,8.0,256,0,,4.0,0.9990222862869407,1.0,0.0,1.0,10.427747528323941
raw_atp,0.9930003417639446,0.012338937491894214,0.018462477881076397,2,0.6,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.9929755103710741,0.012352201851297033,0.018495196847992796,2,0.6,256,1,0.9967057994034582,,,1.0,0.0,0.0,0.0
multigain_atp,0.9929696012643832,0.012378207176122102,0.01850297443204245,2,0.6,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.9916392883748243,0.01432854701944089,0.020177771155628767,2,0.6,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9898102979580847,0.01680773917711525,0.022275748842716107,2,0.6,256,0,,,,1.0,0.00294011252977647,0.0,0.0
first_order_omp,0.9929708574030376,0.012377229612171994,0.018501321372197423,2,0.6,256,0,,2.0,0.9880804673968409,1.0,0.0,0.0,0.0
lifted_omp,0.9978381612646468,0.008120164408045595,0.010260374607827303,2,0.6,256,0,,5.0,0.997810616642346,1.0,0.0,1.0,0.7902986208256367
raw_atp,0.9773835514325513,0.01832397803589692,0.0334093588174262,2,1.2,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.977268491708138,0.01831974977660968,0.03349423498371266,2,1.2,256,1,0.9901964786514535,,,1.0,0.0,0.0,0.0
multigain_atp,0.9774764618975547,0.018437297979149465,0.03334066382360212,2,1.2,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.9632236164493377,0.028863037120237856,0.04260302591512414,2,1.2,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9666857426438092,0.029141972664407344,0.040548146268574774,2,1.2,256,0,,,,1.0,0.01994284713959959,0.0,0.0
first_order_omp,0.977478687424068,0.01843538544512951,0.03333901660539013,2,1.2,256,0,,2.0,0.9576088456363401,1.0,0.0,0.0,0.0
lifted_omp,0.9978539916642919,0.008145320623707507,0.010291333177639866,2,1.2,256,0,,5.0,0.9977737024308476,1.0,0.0,1.0,1.5698721550781505
raw_atp,0.9409689038260522,0.027011989126591366,0.05468068425810818,2,2.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.9406507806665834,0.02678573796533061,0.05482782551154368,2,2.0,256,1,0.9765658555441279,,,1.0,0.0,0.0,0.0
multigain_atp,0.941681247790639,0.026978966469440247,0.05434975969680042,2,2.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.8915984654016582,0.04884845147039552,0.07409880972417822,2,2.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9134859753168908,0.04701781808373476,0.06619676628844577,2,2.0,256,0,,,,1.0,0.04308652142291884,0.0,0.0
first_order_omp,0.9416846822028103,0.026977436247938254,0.05434815933484706,2,2.0,256,0,,2.0,0.8853683691253962,1.0,0.0,0.0,0.0
lifted_omp,0.9978699473186428,0.008226073562219906,0.010386965496427947,2,2.0,256,0,,5.0,0.9977260323459519,1.0,0.0,1.0,2.6089410448878025
raw_atp,0.6925396220338271,0.06653690092941122,0.13773767717966495,2,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.6926676198530552,0.0649587591622197,0.13770900363530814,2,5.0,256,1,0.8928160006318702,,,1.0,0.0,0.0,0.0
multigain_atp,0.7054056443617751,0.061311270113668416,0.13482498702505086,2,5.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.5906145913440504,0.09943398481878968,0.15893676022436967,2,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.563222605118736,0.11576139077322903,0.1641679039213933,2,5.0,256,0,,,,1.0,0.13188684695857802,0.0,0.0
first_order_omp,0.7054122522000117,0.061310923070176944,0.13482347493447056,2,5.0,256,0,,2.0,0.44874596744993167,1.0,0.0,0.0,0.0
lifted_omp,0.9980443901126621,0.008549962202902519,0.010984980454878267,2,5.0,256,0,,4.0,0.9975643200174957,1.0,0.0,1.0,6.507226120072694
raw_atp,0.4273030017132884,0.1080044155488112,0.22177295682221032,2,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.430447676472688,0.10468594183911296,0.22116324189534298,2,8.0,256,1,0.7973369165577332,,,1.0,0.0,0.0,0.0
multigain_atp,0.4586525023452205,0.09700335101190734,0.21561759629290753,2,8.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.35092932932195964,0.133822773950716,0.23609790099006944,2,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.19745465813805385,0.18470998934962507,0.262531199336358,2,8.0,256,0,,,,1.0,0.219482864816164,0.0,0.0
first_order_omp,0.3706297877959174,0.12984212250272892,0.23248729551981642,2,8.0,256,0,,1.0,0.14377717816612456,0.5,0.0,0.0,0.0
lifted_omp,0.9984071420374059,0.009002824462449039,0.011695927265525782,2,8.0,256,0,,4.0,0.9979196495962884,1.0,0.0,1.0,10.405065136459333
