method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean
raw_atp,0.7486112565659353,0.059016429663250825,0.12029649282052264,1,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.750858108733476,0.056768614933270845,0.11975769563865452,1,5.0,256,1,0.9276729846247361,,,1.0,0.0,0.0,0.0
multigain_atp,0.7535740046436992,0.049286499802499106,0.11910316764130216,1,5.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.6218495746709561,0.09266494463474949,0.1475408730267937,1,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.6659275979223336,0.09655285051990525,0.138675695355992,1,5.0,256,0,,,,1.0,0.013067293894223574,0.0,0.0
first_order_omp,0.7535848562897953,0.04928431892849777,0.11910054519140315,1,5.0,256,0,,2.0,0.7178961490617961,1.0,0.0,0.0,0.0
lifted_omp,0.9980453763569872,0.0083308087114775,0.01060746545675126,1,5.0,256,0,,4.0,0.9962766775250573,1.0,0.0,1.0,6.502567803238624
raw_atp,0.49813828618313505,0.0953584999481762,0.19344968116541658,1,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.506526208001415,0.09099054702767376,0.19182624779521049,1,8.0,256,1,0.8603973481999951,,,1.0,0.0,0.0,0.0
multigain_atp,0.5145185865007635,0.0753123987114312,0.19026648255016482,1,8.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.3909535720339835,0.12194359363268586,0.2131087029392591,1,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.33948379378367666,0.15419476548849392,0.2219308745179382,1,8.0,256,0,,,,1.0,0.021619262930603806,0.0,0.0
first_order_omp,0.5145288716804493,0.07531123846346141,0.19026446709162048,1,8.0,256,0,,2.0,0.475938501543793,1.0,0.0,0.0,0.0
lifted_omp,0.9983234591616185,0.008739455173028555,0.011181061955983727,1,8.0,256,0,,4.0,0.9975658494104483,1.0,0.0,1.0,10.40471542782413
raw_atp,0.9932581894844621,0.012329691108317626,0.018342764195886218,2,0.6,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.9932664363857698,0.012311770447423147,0.018331541894810587,2,0.6,256,1,0.9983907616637335,,,1.0,0.0,0.0,0.0
multigain_atp,0.993297240714493,0.01235973108884605,0.01828956277458563,2,0.6,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.9923109631834143,0.013904212427162974,0.01958900974050134,2,0.6,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9905222914103265,0.01662213950223942,0.021748443850418568,2,0.6,256,0,,,,1.0,0.009108473274696183,0.0,0.0
first_order_omp,0.9932962845931709,0.012360844665366383,0.018290867193902167,2,0.6,256,0,,2.0,0.9929795835537985,1.0,0.0,0.0,0.0
lifted_omp,0.9979951159859806,0.007946568812277812,0.010002789705867023,2,0.6,256,0,,4.0,0.997863632750601,1.0,0.0,1.0,0.7804538223455764
raw_atp,0.9788641925341866,0.018079892518974933,0.03256108187438853,2,1.2,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.9789285278321781,0.017955226874789492,0.03251148775666357,2,1.2,256,1,0.9921770256562071,,,1.0,0.0,0.0,0.0
multigain_atp,0.9791309631736036,0.018151703039057256,0.032354940609647026,2,1.2,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.9674994837535588,0.02772891234166457,0.040377045198120326,2,1.2,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9696996590552903,0.028039418214495657,0.03898640247468675,2,1.2,256,0,,,,1.0,0.02037027359575669,0.0,0.0
first_order_omp,0.979129739455604,0.01815379261961918,0.032355889209793987,2,1.2,256,0,,2.0,0.9769890562669005,1.0,0.0,0.0,0.0
lifted_omp,0.9980012717991114,0.007956892950579181,0.010013047452776078,2,1.2,256,0,,4.0,0.9977983021373247,1.0,0.0,1.0,1.5600309623477002
raw_atp,0.9448001063545601,0.026408910533844122,0.05298316365252142,2,2.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.9451339703012615,0.02584811982441946,0.05282269236015843,2,2.0,256,1,0.9789932632928237,,,1.0,0.0,0.0,0.0
multigain_atp,0.9461180942179447,0.026216515936071223,0.052346812319217347,2,2.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.9038360119444546,0.04668441549832142,0.06993184706289807,2,2.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.9208157601065531,0.044552761415610785,0.06345825745039642,2,2.0,256,0,,,,1.0,0.03547470711841385,0.0,0.0
first_order_omp,0.9461166039960134,0.026219118771743797,0.05234753619699458,2,2.0,256,0,,2.0,0.9397029484245871,1.0,0.0,0.0,0.0
lifted_omp,0.9980074607744038,0.007995664216294822,0.01006635416403762,2,2.0,256,0,,4.0,0.9977004656682545,1.0,0.0,1.0,2.5991058836498704
raw_atp,0.6976379852900052,0.06491605720514557,0.13367821974400407,2,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.7038025853272787,0.061976412244675635,0.13230847682255198,2,5.0,256,1,0.8972090358310466,,,1.0,0.0,0.0,0.0
multigain_atp,0.7181027967887739,0.05899129380440794,0.12907508554148744,2,5.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.6236292756957564,0.09544312103155157,0.14914371455899672,2,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.5814413596200199,0.10877711091144751,0.15728061322184866,2,5.0,256,0,,,,1.0,0.0925861541669236,0.0,0.0
first_order_omp,0.718101713374069,0.058993351390894976,0.1290753335782004,2,5.0,256,0,,2.0,0.6809499057670991,1.0,0.0,0.0,0.0
lifted_omp,0.9980083113939079,0.008508293248563059,0.01084945086745759,2,5.0,256,0,,4.0,0.9974064698586469,1.0,0.0,1.0,6.494406257100036
raw_atp,0.41728798572027104,0.10545417187000254,0.2156246233938433,2,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.4340498243853106,0.10004308635669494,0.2125007500019726,2,8.0,256,1,0.8036215590249756,,,1.0,0.0,0.0,0.0
multigain_atp,0.467198511544776,0.09325733996044763,0.20618358299753167,2,8.0,256,1,,,,1.0,0.0,0.0,0.0
finite_single,0.3799791109475186,0.1289010409916076,0.22242035441429692,2,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.20651664360557553,0.17353935679675725,0.2516171729584621,2,8.0,256,0,,,,1.0,0.14952230869696997,0.0,0.0
first_order_omp,0.46719910469608394,0.09325935692673937,0.20618346822861808,2,8.0,256,0,,2.0,0.4019726942128161,1.0,0.0,0.0,0.0
lifted_omp,0.9982429145510935,0.009216590523140302,0.011840439110544757,2,8.0,256,0,,5.0,0.9979511298961806,1.0,0.0,1.0,10.391254429645636
