epsilon,component,layer,bin,token_start,token_end_exclusive,finite_effect,atp_effect,atp_calibrated_effect,ridge_effect,omp_effect
0.6,18,2,2,15,23,0.04686289280653,0.03126873224973679,0.04054609376984723,-0.014756690772996055,0.0
0.6,19,2,3,23,31,0.0489349290728569,0.03993953615427017,0.05178950541075658,0.02215584876613213,0.0
0.6,20,2,4,31,39,0.07468454539775848,0.05359708517789841,0.06949921807053278,0.08751498341428283,0.11088449787729904
0.6,21,2,5,39,47,0.07806511223316193,0.05789734125137329,0.07507535031014206,0.07404591196306985,0.10442201477832583
0.6,22,2,6,47,55,0.06261700391769409,0.07684816718101502,0.09964884305754226,0.08546248812505797,0.11520691481184199
0.6,23,2,7,55,63,1.1492853164672852,0.9395636558532714,1.2183300489673001,1.2377322939785176,1.2127479483736083
0.6,24,3,0,0,7,0.0,0.0,0.0,0.02180228016317648,0.0
0.6,25,3,1,7,15,0.0,0.0,0.0,-0.03142274354254036,0.0
0.6,26,3,2,15,23,0.0,0.0,0.0,0.006390246106588948,0.0
0.6,27,3,3,23,31,0.0,0.0,0.0,0.006352582856852553,0.0
0.6,28,3,4,31,39,0.0,0.0,0.0,-0.021221017427415577,0.0
0.6,29,3,5,39,47,0.0,0.0,0.0,0.0029367614703628836,0.0
0.6,30,3,6,47,55,0.0,0.0,0.0,-0.012075063874245314,0.0
0.6,31,3,7,55,63,0.7517908811569214,0.6585823774337768,0.8539822662885098,0.7165685743733652,0.6803986924807998
1.2,0,0,0,0,7,-0.011315682902932167,-0.022053301334381104,-0.026414569115360383,-0.04678440536149964,0.0
1.2,1,0,1,7,15,0.029371637850999832,0.014766890555620193,0.017687195458227688,0.06626627063066619,0.0
1.2,2,0,2,15,23,0.03699138015508652,0.030571717768907547,0.036617590252718595,-0.007290278859515138,0.0
1.2,3,0,3,23,31,0.05177004262804985,0.04825207740068436,0.057794423344366117,0.053684133066514754,0.0
1.2,4,0,4,31,39,0.0783967450261116,0.05344550907611847,0.06401490969498742,0.030139703386089654,0.0
1.2,5,0,5,39,47,0.12013112753629684,0.11342114210128784,0.13585134269701651,0.09567086205884297,0.0
1.2,6,0,6,47,55,0.25110191106796265,0.3048076629638672,0.3650865218849781,0.2998633530458453,0.24639615343446386
1.2,7,0,7,55,63,2.200593948364258,1.889601230621338,2.2632893619833228,2.245330007972171,2.2775746317116328
1.2,8,1,0,0,7,0.04832231625914574,0.014973872154951095,0.01793510980348766,0.11826940134287355,0.0
1.2,9,1,1,7,15,0.06478770077228546,0.04320983290672302,0.05175502299959117,0.002218063438191049,0.0
1.2,10,1,2,15,23,0.06824388355016708,0.058744427561759946,0.07036174396045072,0.10303373148652266,0.0
1.2,11,1,3,23,31,0.10109445452690125,0.07104145735502243,0.08509063821817267,0.13388178286959024,0.0
1.2,12,1,4,31,39,0.09883058816194534,0.07921700477600098,0.09488298445844612,0.056609047591315145,0.0
1.2,13,1,5,39,47,0.13180454075336456,0.1423924684524536,0.1705520476238331,0.11383803154330828,0.0
1.2,14,1,6,47,55,0.17436271905899048,0.272340327501297,0.3261984359896189,0.21858080821743855,0.215404182367143
1.2,15,1,7,55,63,2.0654311180114746,1.7331353187561034,2.0758807023683192,2.068166757209652,2.031458506540303
1.2,16,2,0,0,7,0.05110648646950722,0.021866840869188307,0.026191234170154745,0.0203740038955137,0.0
1.2,17,2,1,7,15,0.07402771711349487,0.047762748599052426,0.05720832472562134,0.06369059257385286,0.0
1.2,18,2,2,15,23,0.07069024443626404,0.06253746449947357,0.07490489307128943,0.009104040687107568,0.0
1.2,19,2,3,23,31,0.10450009256601334,0.07987907230854034,0.09567598267364001,0.05065448901245214,0.0
1.2,20,2,4,31,39,0.1347150206565857,0.10719417035579681,0.12839292306828545,0.17156249188062037,0.2122125500851013
1.2,21,2,5,39,47,0.13592463731765747,0.11579468250274658,0.13869427519187563,0.13331954690348527,0.0
1.2,22,2,6,47,55,0.14994579553604126,0.15369633436203003,0.18409136959708236,0.10586251874146536,0.0
1.2,23,2,7,55,63,2.0873565673828125,1.8791273117065428,2.250744117582557,2.3058677557248735,2.2665323750930155
1.2,24,3,0,0,7,0.0,0.0,0.0,-0.0062412925569872765,0.0
