epsilon,hvp_budget,method,heldout_r2_mean,heldout_r2_std,heldout_r2_count,pair_topk_recall_mean,pair_topk_recall_std,pair_topk_recall_count,pair_rmse_mean,pair_rmse_std,pair_rmse_count,pair_l1_mean,pair_l1_std,pair_l1_count,selected_k_mean,selected_k_std,selected_k_count,hvp_val_r2_mean,hvp_val_r2_std,hvp_val_r2_count,false_pair_count_in_selected_mean,false_pair_count_in_selected_std,false_pair_count_in_selected_count
8.0,4,hvp_pairs_atp_main,0.7915376159456807,0.15660750337995855,3,0.6666666666666666,0.2886751345948129,3,0.1546277123027501,0.13455120465906825,3,6.957945095048381,6.04481147427237,3,1.3333333333333333,0.5773502691896258,3,0.9989215937055467,0.0001296967554471244,3,0.0,0.0,3
8.0,4,hvp_pairs_finite_main,0.721596499313664,0.17198966431765467,3,0.6666666666666666,0.2886751345948129,3,0.1546277123027501,0.13455120465906825,3,6.957945095048381,6.04481147427237,3,1.3333333333333333,0.5773502691896258,3,0.9989215937055467,0.0001296967554471244,3,0.0,0.0,3
8.0,4,hvp_pairs_only,0.3896506962546303,0.18147281013221395,3,0.6666666666666666,0.2886751345948129,3,0.1546277123027501,0.13455120465906825,3,6.957945095048381,6.04481147427237,3,1.3333333333333333,0.5773502691896258,3,0.9989215937055467,0.0001296967554471244,3,0.0,0.0,3
8.0,8,hvp_pairs_atp_main,0.7254224648340669,0.2149744666491754,3,0.6666666666666666,0.28867513459481287,3,0.15490962459931526,0.13406830959097601,3,6.980861583402874,6.019819296376166,3,1.6666666666666667,1.1547005383792517,3,0.9981698774056932,0.0016214158608485938,3,0.3333333333333333,0.5773502691896258,3
8.0,8,hvp_pairs_finite_main,0.6858287107306683,0.19544963580348623,3,0.6666666666666666,0.28867513459481287,3,0.15490962459931526,0.13406830959097601,3,6.980861583402874,6.019819296376166,3,1.6666666666666667,1.1547005383792517,3,0.9981698774056932,0.0016214158608485938,3,0.3333333333333333,0.5773502691896258,3
8.0,8,hvp_pairs_only,0.3705663442496512,0.1669938233871881,3,0.6666666666666666,0.28867513459481287,3,0.15490962459931526,0.13406830959097601,3,6.980861583402874,6.019819296376166,3,1.6666666666666667,1.1547005383792517,3,0.9981698774056932,0.0016214158608485938,3,0.3333333333333333,0.5773502691896258,3
8.0,12,hvp_pairs_atp_main,0.8525013318020392,0.20316507242621415,3,0.8333333333333334,0.2886751345948129,3,0.08360582994460446,0.14362118837746513,3,3.7647314599933304,6.451322221089837,3,1.6666666666666667,0.5773502691896258,3,0.9988643117656067,0.00014260846259741376,3,0.0,0.0,3
8.0,12,hvp_pairs_finite_main,0.788972944352324,0.20519174419207506,3,0.8333333333333334,0.2886751345948129,3,0.08360582994460446,0.14362118837746513,3,3.7647314599933304,6.451322221089837,3,1.6666666666666667,0.5773502691896258,3,0.9988643117656067,0.00014260846259741376,3,0.0,0.0,3
8.0,12,hvp_pairs_only,0.46652435445956897,0.21331913090530835,3,0.8333333333333334,0.2886751345948129,3,0.08360582994460446,0.14362118837746513,3,3.7647314599933304,6.451322221089837,3,1.6666666666666667,0.5773502691896258,3,0.9988643117656067,0.00014260846259741376,3,0.0,0.0,3
8.0,16,hvp_pairs_atp_main,0.8513019782393791,0.19766460678909062,3,0.8333333333333334,0.28867513459481287,3,0.0840892214083634,0.14320415469997289,3,3.808446310274425,6.409696236249022,3,2.3333333333333335,1.5275252316519465,3,0.9988175775965565,0.000505711353868394,3,0.6666666666666666,1.1547005383792517,3
8.0,16,hvp_pairs_finite_main,0.7871866213448343,0.19259492532396386,3,0.8333333333333334,0.28867513459481287,3,0.0840892214083634,0.14320415469997289,3,3.808446310274425,6.409696236249022,3,2.3333333333333335,1.5275252316519465,3,0.9988175775965565,0.000505711353868394,3,0.6666666666666666,1.1547005383792517,3
8.0,16,hvp_pairs_only,0.4297984409262674,0.19396011957913395,3,0.8333333333333334,0.28867513459481287,3,0.0840892214083634,0.14320415469997289,3,3.808446310274425,6.409696236249022,3,2.3333333333333335,1.5275252316519465,3,0.9988175775965565,0.000505711353868394,3,0.6666666666666666,1.1547005383792517,3
8.0,24,hvp_pairs_atp_main,0.9661869697821173,0.005613315509351832,3,1.0,0.0,3,0.0003075213415492551,1.3600014174929014e-05,3,0.01918122788700612,0.001045279131599553,3,2.0,0.0,3,0.9992071477770231,0.0003297534048489034,3,0.0,0.0,3
8.0,24,hvp_pairs_finite_main,0.9091444265817293,0.012982016155247428,3,1.0,0.0,3,0.0003075213415492551,1.3600014174929014e-05,3,0.01918122788700612,0.001045279131599553,3,2.0,0.0,3,0.9992071477770231,0.0003297534048489034,3,0.0,0.0,3
8.0,24,hvp_pairs_only,0.5882005122578876,0.06386866015559088,3,1.0,0.0,3,0.0003075213415492551,1.3600014174929014e-05,3,0.01918122788700612,0.001045279131599553,3,2.0,0.0,3,0.9992071477770231,0.0003297534048489034,3,0.0,0.0,3
8.0,32,hvp_pairs_atp_main,0.9697731807032172,0.008870696638545611,3,1.0,0.0,3,0.0004978626702578091,0.0004432455141548004,3,0.027478585232532948,0.02480118429042047,3,2.3333333333333335,0.5773502691896258,3,0.9991820400972106,0.00018048433565180164,3,0.3333333333333333,0.5773502691896258,3
8.0,32,hvp_pairs_finite_main,0.9110799699456816,0.01738043529224872,3,1.0,0.0,3,0.0004978626702578091,0.0004432455141548004,3,0.027478585232532948,0.02480118429042047,3,2.3333333333333335,0.5773502691896258,3,0.9991820400972106,0.00018048433565180164,3,0.3333333333333333,0.5773502691896258,3
8.0,32,hvp_pairs_only,0.5889310820436062,0.0568394705079302,3,1.0,0.0,3,0.0004978626702578091,0.0004432455141548004,3,0.027478585232532948,0.02480118429042047,3,2.3333333333333335,0.5773502691896258,3,0.9991820400972106,0.00018048433565180164,3,0.3333333333333333,0.5773502691896258,3
8.0,48,hvp_pairs_atp_main,0.9699445423168194,0.0020703008696998544,3,1.0,0.0,3,0.00038865024770711306,0.00026123898090602753,3,0.019774680866217722,0.011915646211566124,3,2.3333333333333335,0.5773502691896257,3,0.9989287682561687,0.0002874895727967955,3,0.3333333333333333,0.5773502691896258,3
8.0,48,hvp_pairs_finite_main,0.910791516107,0.008128411868541565,3,1.0,0.0,3,0.00038865024770711306,0.00026123898090602753,3,0.019774680866217722,0.011915646211566124,3,2.3333333333333335,0.5773502691896257,3,0.9989287682561687,0.0002874895727967955,3,0.3333333333333333,0.5773502691896258,3
8.0,48,hvp_pairs_only,0.5958819282399515,0.0349859360196465,3,1.0,0.0,3,0.00038865024770711306,0.00026123898090602753,3,0.019774680866217722,0.011915646211566124,3,2.3333333333333335,0.5773502691896257,3,0.9989287682561687,0.0002874895727967955,3,0.3333333333333333,0.5773502691896258,3
8.0,64,hvp_pairs_atp_main,0.9675835549650375,0.005158166263493446,3,1.0,0.0,3,0.0004400869525118638,0.00028992063658509057,3,0.02547812064065007,0.016404913446668817,3,2.6666666666666665,0.5773502691896258,3,0.9987770048140304,0.00017104292730746394,3,0.6666666666666666,0.5773502691896258,3
8.0,64,hvp_pairs_finite_main,0.9089020531851437,0.010489871208134724,3,1.0,0.0,3,0.0004400869525118638,0.00028992063658509057,3,0.02547812064065007,0.016404913446668817,3,2.6666666666666665,0.5773502691896258,3,0.9987770048140304,0.00017104292730746394,3,0.6666666666666666,0.5773502691896258,3
8.0,64,hvp_pairs_only,0.5843253746804837,0.04225276425249054,3,1.0,0.0,3,0.0004400869525118638,0.00028992063658509057,3,0.02547812064065007,0.016404913446668817,3,2.6666666666666665,0.5773502691896258,3,0.9987770048140304,0.00017104292730746394,3,0.6666666666666666,0.5773502691896258,3
